"","targetMaterialColumn","dataset","R2 type","model","mean","lwr","upr"
"1","Lab","Lab","Conditional","BLM3_fit",0.99759466127036,0.997091587971329,0.997991817115722
"2","Lab","Lab","Marginal","BLM3_fit",0.0373747465130343,0.0349505828273661,0.039879646159685
"3","Lab","Lab","BLM1_fit",NA,0.953602349330573,0.951102316345609,0.955319191329182
"4","Lab","Lab","BLM1_fit_NoErrors",NA,0.953664853424878,0.952053700740436,0.955131635699128
"5","Lab","4","BLM1_fit",NA,0.951316769621681,0.92141138283238,0.958023654097299
"6","Lab","4","BLM1_fit_NoErrors",NA,0.954600053580342,0.945134487004528,0.958025242972255
"7","Lab","9","BLM1_fit",NA,0.658999934012222,0.10077564259115,0.805727305888218
"8","Lab","9","BLM1_fit_NoErrors",NA,0.742839479942198,0.582995711614732,0.804672689391531
"9","Lab","6","BLM1_fit",NA,0.969262859723142,0.909760850834645,0.98171889870615
"10","Lab","6","BLM1_fit_NoErrors",NA,0.979369028686259,0.971415641580186,0.981726789216687
"11","Lab","7","BLM1_fit",NA,0.506031735717635,0.00931181564466376,0.907614772114706
"12","Lab","7","BLM1_fit_NoErrors",NA,0.581111061933357,0.00286432827632359,0.912688882142399
"13","Lab","3","BLM1_fit",NA,0.431164500897248,0.0030361236548609,0.709097838796363
"14","Lab","3","BLM1_fit_NoErrors",NA,0.472612101760849,0.00264769408014766,0.709386838627563
"15","Lab","8","BLM1_fit",NA,0.643308141061198,0.00285782978694519,0.948747357338786
"16","Lab","8","BLM1_fit_NoErrors",NA,0.874562793560031,0.432747711875216,0.949128636594512
"17","Lab","11","BLM1_fit",NA,0.612922218045814,0.00654286093940524,0.816636626875342
"18","Lab","11","BLM1_fit_NoErrors",NA,0.734461740604759,0.418204795941342,0.816688425720793
"19","Lab","12","BLM1_fit",NA,0.643304493853208,0.503007038178038,0.725595145929007
"20","Lab","12","BLM1_fit_NoErrors",NA,0.667137928566713,0.607649789976468,0.710799512249017
"21","Lab","14","BLM1_fit",NA,0.911765524025707,0.671904610031111,0.953776138045086
"22","Lab","14","BLM1_fit_NoErrors",NA,0.945982455572764,0.914362783063951,0.953797923656303
"23","Lab","13","BLM1_fit",NA,0.619361442050902,0.278606853099906,0.755719190354932
"24","Lab","13","BLM1_fit_NoErrors",NA,0.671929198965975,0.560266921616926,0.737125632713135
"25","Lab","1","BLM1_fit",NA,0.534763745957182,0.012901957704119,0.741631034300855
"26","Lab","1","BLM1_fit_NoErrors",NA,0.626353207043164,0.373828227376609,0.736272083653586
"27","Lab","2","BLM1_fit",NA,0.71968299659081,0.334478433975413,0.819446792106271
"28","Lab","2","BLM1_fit_NoErrors",NA,0.769316620398948,0.663538934988112,0.816747298748927
"29","Lab","10","BLM1_fit",NA,0.966486592868501,0.85035997600998,0.989707265819502
"30","Lab","10","BLM1_fit_NoErrors",NA,0.986462366995978,0.975190124370428,0.989728749229211
"31","Lab","5","BLM1_fit",NA,0.889488248447722,0.229268947969968,0.997703373678598
"32","Lab","5","BLM1_fit_NoErrors",NA,0.985697150232315,0.929644274893571,0.997782481730857
