"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Teeth","Teeth","BLM1_fit",-4460.95978189366,-4587.18898099267,-4340.6442396424
"2","Teeth","Teeth","BLM1_fit_NoErrors",-2385.88934028219,-3126.39915948011,-1359.65748748203
"3","Teeth","Teeth","BLM3_fit",-4455.78326540869,-4582.64419330222,-4336.41610166401
"4","Teeth","2","BLM1_fit",-4974.7698907139,-5110.42146256338,-4840.99457726893
"5","Teeth","2","BLM1_fit_NoErrors",-2351.88309609451,-2898.74534235132,-1587.13819360256
"6","Teeth","1","BLM1_fit",-74.5894518646927,-89.0346330948936,-61.0101082297354
"7","Teeth","1","BLM1_fit_NoErrors",-39.1368110723047,-40.6574923712973,-37.5419551657008
