"","targetMaterialColumn","OriginalCode","NumericCode","N"
"1","Lab","",1,38
"2","Lab","Caltech",2,55
"3","Lab","Cambridge",3,18
"4","Lab","ETH",4,59
"5","Lab","GeoSurveyCanada",5,12
"6","Lab","ImperialCollegeLondon",6,42
"7","Lab","IPGP",7,11
"8","Lab","IPSL",8,27
"9","Lab","JohnsHopkins",9,48
"10","Lab","MIT",10,30
"11","Lab","Tulane",11,22
"12","Lab","UCLATripati",12,191
"13","Lab","UnivBergen",13,93
"14","Lab","UW",14,40
