"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Forams","Forams","BLM1_fit",-4991.52615322769,-5102.99268910789,-4876.75851229759
"2","Forams","Forams","BLM1_fit_NoErrors",-2511.18141139281,-3156.58870495466,-1641.06523670517
"3","Forams","Forams","BLM3_fit",-5007.54340599455,-5122.51311119322,-4883.91062783423
"4","Forams","3","BLM1_fit",-3579.05243476751,-3703.64536667966,-3455.23638527308
"5","Forams","3","BLM1_fit_NoErrors",-1638.5791398146,-1943.42871709031,-1232.91593028127
"6","Forams","2","BLM1_fit",-1466.48192539742,-1499.03104783215,-1432.49771988959
"7","Forams","2","BLM1_fit_NoErrors",-889.402231496133,-1035.71891682324,-719.877028547274
"8","Forams","1","BLM1_fit",-244.1770931909,-260.512011436753,-224.745512269485
"9","Forams","1","BLM1_fit_NoErrors",-145.405492890791,-153.639312592968,-137.584140960133
