"","Material","Freq","Model","elpd_diff","se_diff"
"1","Foraminifera",232,"BLM3",-3212.04196144972,20.4075316161965
"2","Foraminifera",232,"BLM1_E",-128772.85530575,770.192650777526
"3","Foraminifera",232,"BLM1_NE",0,0
"4","Synthetic Calcite",170,"BLM1_E",-492.567105554646,22.290836281654
"5","Synthetic Calcite",170,"BLM3",0,0
"6","Synthetic Calcite",170,"BLM1_NE",-86.2536473241257,5.69855824392709
"7","Full",1206,"BLM1_NE",0,0
"8","Full",1206,"BLM3",-2837.90883523474,20.9174869397888
"9","Full",1206,"BLM1_E",-36220.5683725493,464.373943612398
