"","targetColumns","Dataset","Model","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","Material"
"1","CDESorICDES","Full","BLM1_fit",0.00308145956576831,0.148790341079331,0.152797392188838,0.15487805898917,0.1568893303114,0.160694592077076,1.00113922627899,3000,NA
"2","CDESorICDES","Full","BLM1_fit",0.000274327577554013,0.0386839809221727,0.0390412550568071,0.0392183679205498,0.0394070517598886,0.0397623032013185,1.00141238481467,2200,NA
"3","CDESorICDES","Full","BLM1_fit",57.0972572362243,-9932.80138432285,-9858.50212898144,-9821.86858819878,-9782.67838994493,-9708.25303225183,1.00125538411372,2600,NA
"4","CDESorICDES","Full","BLM1_fit",244.993061306458,3385.23249302624,3678.07117742717,3839.83720175902,4003.91958564794,4336.86104591987,1.0013013937133,2500,NA
"5","CDESorICDES","Full","BLM1_fit_NoErrors",0.00304173601592291,0.145853158289313,0.149966180392671,0.151962916995071,0.1540476938729,0.157922924091051,1.00069554439272,3000,NA
"6","CDESorICDES","Full","BLM1_fit_NoErrors",0.000272074159836251,0.0389262793429187,0.0392682251645421,0.0394570198314884,0.0396344727123105,0.0400165975018838,1.00095597504655,3000,NA
"7","CDESorICDES","Full","BLM1_fit_NoErrors",2.34249761366461,-4353.33724369895,-4352.37115575209,-4351.23293764947,-4349.57229876642,-4344.67042267627,1.00175841844418,1600,NA
"8","CDESorICDES","Full","BLM1_fit_NoErrors",129.282005773389,2461.04520381516,2611.25281349487,2701.61876719713,2788.89834616119,2963.9932755916,1.00350164337816,670,NA
"9","CDESorICDES","Full","BLM3_fit",0.00377284909749141,0.14553294661892,0.150101817445745,0.152793188258011,0.155368750325469,0.160022852120634,1.00296353076007,810,NA
"10","CDESorICDES","Full","BLM3_fit",0.00575022879373728,0.146586198992254,0.153598060016929,0.157536751172599,0.161456634602224,0.168887904316212,1.00103663084281,3000,NA
"11","CDESorICDES","Full","BLM3_fit",0.00035761722354963,0.038911125923325,0.0393572560318997,0.039603308809503,0.0398504376063355,0.0402970212598559,1.00329211396552,720,NA
"12","CDESorICDES","Full","BLM3_fit",0.000498160881055171,0.0379398527423157,0.0385660013989679,0.0389052409604838,0.0392411221058724,0.0398696549677605,1.00085096890884,3000,NA
"13","CDESorICDES","Full","BLM3_fit",0.00704781983658092,0.972429302592654,0.995966936244606,0.998825348817986,0.999480138995429,0.999697225686913,1.00134114435486,2400,NA
"14","CDESorICDES","Full","BLM3_fit",56.6499530546778,-9932.19221548085,-9857.56405039463,-9818.48815626991,-9780.55451304351,-9706.97363200931,1.00184739707466,1500,NA
"15","CDESorICDES","Full","BLM3_fit",0.231813261540635,0.0100541031455003,0.0171302269628653,0.0394746172469373,0.135188891109175,0.924785357928776,1.00141106609641,2200,NA
"16","CDESorICDES","Full","BLM3_fit",251.426619458467,3405.66299230614,3713.36019069432,3880.89973822866,4052.39932484178,4394.00853860584,1.00057405699756,3000,NA
"17","Forams","Full","BLM1_fit",0.00313940625738171,0.148671603794679,0.152722979355881,0.154776560961154,0.156987014360956,0.161157438247316,1.0037996886458,610,NA
"18","Forams","Full","BLM1_fit",0.000279244736317658,0.0386759251331458,0.0390239601221771,0.0392251391896194,0.0394084100354949,0.0397682455007728,1.00268085880319,920,NA
"19","Forams","Full","BLM1_fit",56.1575746205727,-9932.89662409043,-9861.90971540087,-9824.52442821792,-9788.22435477096,-9709.65888825856,1.00241532084654,1000,NA
"20","Forams","Full","BLM1_fit",246.898901999393,3380.14911904405,3683.01016888678,3841.86111588889,4006.87248059467,4366.19677171257,1.00079199260992,3000,NA
"21","Forams","Full","BLM1_fit_NoErrors",0.00315734033250841,0.145773953114423,0.149986789264443,0.152071908794118,0.15421844924883,0.158151904369124,1.00088113199716,3000,NA
"22","Forams","Full","BLM1_fit_NoErrors",0.000281553884755309,0.0388966828063086,0.0392576619823408,0.0394477953531315,0.039635896016149,0.0400198911943125,1.00111018369331,3000,NA
"23","Forams","Full","BLM1_fit_NoErrors",2.49355237184482,-4353.33087126747,-4352.35481294921,-4351.13685597228,-4349.26000364168,-4343.93069781039,1.00138700949918,2300,NA
"24","Forams","Full","BLM1_fit_NoErrors",133.578436843785,2449.35351195851,2611.95271399571,2702.43583635886,2795.26790476915,2973.59644865732,1.00075503487874,3000,NA
"25","Forams","Full","BLM3_fit",0.0239860693351388,0.095301217912594,0.124398782585431,0.141629064370886,0.158010319914663,0.189234993012416,1.0039926763967,1100,NA
"26","Forams","Full","BLM3_fit",0.0030731449931705,0.147523763998651,0.151463943631946,0.153452239544553,0.155564350282653,0.159623746745096,1.00108134631494,3000,NA
"27","Forams","Full","BLM3_fit",0.00201499853591487,0.0359311341596569,0.0386027693429831,0.0399583189968135,0.0414055174112083,0.0438197651411262,1.00825811346019,720,NA
"28","Forams","Full","BLM3_fit",0.000280148509626469,0.0389483569164262,0.0393226740569538,0.0395099277983551,0.0396997085044799,0.0400551816703071,1.00077674190973,3000,NA
"29","Forams","Full","BLM3_fit",0.00673566453052068,0.97356083435841,0.995977793812061,0.998864239164296,0.999477351583738,0.999704713141798,1.00061044245148,3000,NA
"30","Forams","Full","BLM3_fit",55.530844471336,-9926.35861237745,-9857.41594925921,-9820.89560780027,-9783.26237405974,-9709.13980302023,1.00058228784101,3000,NA
"31","Forams","Full","BLM3_fit",0.227623037481659,0.0101279419418799,0.0177626972368342,0.0386962003220434,0.135979505918847,0.903487836841023,1.00082298433333,3000,NA
