"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Lab","Full",-9438.51156634623,-4086.642594696,-9449.24487511771
"2","Lab","3",-683.197705699585,-285.141271538684,-683.225814946319
"3","Lab","9",-516.241544041653,-285.233298494852,-516.350768027669
"4","Lab","11",-276.42412553742,-116.529207687814,-276.458497883728
"5","Lab","5",-304.098086170241,-147.426458224166,-304.06630371885
"6","Lab","6",-686.626934142034,-282.417176604853,-686.621490677785
"7","Lab","13",-153.902307213284,-93.5371938115561,-153.868827156158
"8","Lab","7",-145.835985537416,-81.6419992812831,-145.867046913157
"9","Lab","2",-366.639026566938,-146.356710299708,-366.631773459075
"10","Lab","8",-465.408083309597,-184.348871186221,-465.308975806302
"11","Lab","12",-2427.73929756849,-1206.80101236313,-2427.90820124637
"12","Lab","15",-627.042065854381,-311.552648511181,-627.066585152003
"13","Lab","14",-849.713201348679,-314.175254780979,-849.73040536498
"14","Lab","1",-1355.9774131288,-597.814609088689,-1356.03389858551
"15","Lab","10",-443.381770021347,-235.203671752544,-443.250568668542
"16","Lab","4",-149.603186214161,-80.0987389628517,-149.729110273614
