"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","CDESorICDES","Full",-9636.5762456941,-4208.92505463579,-9633.83247627213
"2","CDESorICDES","1",-3089.74116855336,-1349.30036088979,-3089.77199166724
"3","CDESorICDES","2",-6550.56219047932,-2932.60846438933,-6550.60673033214
