"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","NaturalSynthetic","Full",-9636.7334690359,-4208.9343105677,-9636.61741508547
"2","NaturalSynthetic","1",-6724.7873807641,-2916.63913071764,-6725.1048443495
"3","NaturalSynthetic","2",-2913.63040405211,-1303.29752111979,-2913.65706748858
