"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","LARGEorSMALL","Full",-9660.640108918,-4284.16995460502,-9661.06357703879
"2","LARGEorSMALL","2",-4211.02429586842,-1729.32492967574,-4211.13595764897
"3","LARGEorSMALL","1",-5444.87587287523,-2588.660037484,-5445.10750976281
