"","Material","Freq","Model","elpd_diff","se_diff"
"1","CDES",294,"BLM1_E",-2605.21213260518,47.3339086948368
"2","CDES",294,"BLM3",-3053.45404171069,58.4276712737687
"3","CDES",294,"BLM1_NE",0,0
"4","ICDES",560,"BLM1_E",-85970.6731097055,663.826141841046
"5","ICDES",560,"BLM3",0,0
"6","ICDES",560,"BLM1_NE",-4921.00391506151,33.2561374647445
"7","Full",2562,"BLM1_NE",0,0
"8","Full",2562,"BLM3",-13102.0663743782,132.94184275773
"9","Full",2562,"BLM1_E",-39080.2251724721,348.053087910946
