"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-5691.04666921014,-5732.77831945703,-5649.31501896325
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-2219.15699346768,-2376.04785615806,-2062.26613077729
"3","Mineralogy","Mineralogy","BLM3_fit",-5672.45362762416,-5710.10403375025,-5634.80322149807
"4","Mineralogy","4","BLM1_fit",-231.484769048395,-233.038375339788,-229.931162757002
"5","Mineralogy","4","BLM1_fit_NoErrors",-143.140732703019,-155.307903158777,-130.973562247262
"6","Mineralogy","1","BLM1_fit",-871.359484196227,-887.02531960716,-855.693648785293
"7","Mineralogy","1","BLM1_fit_NoErrors",-519.036334471506,-521.393538614508,-516.679130328504
"8","Mineralogy","3","BLM1_fit",-5130.14931019998,-5130.37203513568,-5129.92658526428
"9","Mineralogy","3","BLM1_fit_NoErrors",-2074.20203577452,-2439.13904564449,-1709.26502590455
"10","Mineralogy","5","BLM1_fit",-142.664413275112,-149.603338439183,-135.72548811104
"11","Mineralogy","5","BLM1_fit_NoErrors",-70.092650813775,-72.2815755665184,-67.9037260610316
"12","Mineralogy","2","BLM1_fit",-176.096174954727,-186.223550019685,-165.968799889769
"13","Mineralogy","2","BLM1_fit_NoErrors",-85.3523299202293,-85.5133236733567,-85.1913361671019
