"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Teeth","Full",-9822.22413780913,-4350.55976418798,-9821.27176830656
"2","Teeth","2",-9617.81222204572,-4207.61906152554,-9617.86429077095
"3","Teeth","1",-205.935640813516,-161.836673858795,-206.128536838771
