"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","NaturalSynthetic","Full",-9464.97483101107,-4240.85023261867,-9464.66176029493
"2","NaturalSynthetic","1",-6725.1891120089,-2916.63745609364,-6724.8657872915
"3","NaturalSynthetic","2",-2741.35870110069,-1324.98557085246,-2741.34966864877
