"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Lab","Full",-8129.12152436251,-2285.79376572446,-8128.62891150188
"2","Lab","3",-682.812273668972,-176.102382880886,-682.821514523764
"3","Lab","9",-516.331664939898,-146.502249133945,-516.306905915556
"4","Lab","11",-272.926241237027,-63.972168238308,-272.859841428636
"5","Lab","5",-303.936891734035,-64.8204209232531,-303.891582209264
"6","Lab","6",-681.458624817583,-154.019009301227,-681.524454191836
"7","Lab","13",-153.084309706485,-42.726556265688,-153.110221285996
"8","Lab","7",-145.068007057758,-26.4670438942547,-145.050069667542
"9","Lab","2",-199.136245452288,-62.090937087971,-199.174336250047
"10","Lab","8",-264.334500550406,-70.6622535729905,-264.267583750849
"11","Lab","12",-1757.86031708712,-564.443568966111,-1757.72053745929
"12","Lab","15",-623.364284947194,-149.777477750743,-623.38323405964
"13","Lab","14",-808.105625615581,-250.893734345468,-808.032354360428
"14","Lab","1",-1127.96917676224,-325.370907061534,-1128.06837359593
"15","Lab","10",-443.698445372159,-108.737616262481,-443.613217882019
"16","Lab","4",-148.216715045432,-29.119468894014,-148.225590973489
