"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","BenthicPlanktic","Full",-3291.38306652938,-1139.3007288329,-3291.08077555502
"2","BenthicPlanktic","2",-3099.84531176493,-1010.05728073747,-3099.76341543208
"3","BenthicPlanktic","1",-189.300419632861,-128.299899893996,-189.2560713101
