"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_NE","Full",0,0
"2","Mineralogy","BLM3","Full",-57164.3956435214,1517.24602868037
"3","Mineralogy","BLM1_E","Full",-779724.665477481,21176.1978137473
"4","Mineralogy","BLM1_NE","2",0,0
"5","Mineralogy","BLM3","2",-2707.08443478875,65.3284932921347
"6","Mineralogy","BLM1_E","2",-1118635.39785215,33960.8040196045
"7","Mineralogy","BLM1_NE","3",0,0
"8","Mineralogy","BLM3","3",-0.400161331885357,4.62406233233198
"9","Mineralogy","BLM1_E","3",-139373.549741329,12916.0140498157
"10","Mineralogy","BLM3","1",0,0
"11","Mineralogy","BLM1_NE","1",-696.157578307372,59.3995796991193
"12","Mineralogy","BLM1_E","1",-148875.546387991,7290.83603621367
"13","Mineralogy","BLM1_NE","4",0,0
"14","Mineralogy","BLM3","4",-816.066192381471,49.2225328426823
"15","Mineralogy","BLM1_E","4",-1924884.74273717,132162.608038463
