"","targetColumns","Dataset","Model","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","Material"
"1","SynCalForam","Full","BLM1_fit",0.162093608177368,0.00339458510969618,0.155691877341243,0.159757472678721,0.162172750112247,0.16433701581494,0.168621638134855,1.00096324866304,3000,NA
"2","SynCalForam","Full","BLM1_fit",0.0383418128196754,0.00030286517086459,0.0377584191740711,0.0381411270935587,0.0383364152147788,0.0385504561115092,0.038915202119619,1.0006659561155,3000,NA
"3","SynCalForam","Full","BLM1_fit",-5282.36437163816,37.3040699568662,-5353.76366516077,-5307.60495102878,-5282.21717892794,-5257.09887518195,-5208.5151153612,1.00078490320834,3000,NA
"4","SynCalForam","Full","BLM1_fit",5365.71494819129,498.080794930543,4435.38411856903,5025.53371121944,5345.59112324861,5688.97981045078,6395.35469473045,1.00135434305021,2300,NA
"5","SynCalForam","Full","BLM1_fit_NoErrors",0.162548960800493,0.00370863722778678,0.155225912334961,0.160122482891618,0.16254466938504,0.16509575430304,0.169722754703202,1.00069407523642,3000,NA
"6","SynCalForam","Full","BLM1_fit_NoErrors",0.0382923437721548,0.000333756240615082,0.03766184909108,0.0380652319472005,0.0382901716948846,0.0385167878892805,0.038956593497419,1.00074506762649,3000,NA
"7","SynCalForam","Full","BLM1_fit_NoErrors",-2056.30059025434,2.4015697570137,-2059.06786611986,-2058.01386882534,-2056.8778145263,-2055.20607899722,-2050.25787834812,1.0012122903853,2800,NA
"8","SynCalForam","Full","BLM1_fit_NoErrors",3823.73092857646,276.007849436132,3309.7107208197,3635.18231777854,3811.90938800581,4018.72118198389,4349.41509794379,1.00091558686692,3000,NA
"9","SynCalForam","Full","BLM3_fit",0.138758111590897,0.0228493671938848,0.0957129054519042,0.122576050330281,0.138486304016412,0.154173649569926,0.184069047718866,1.01826602893318,120,NA
"10","SynCalForam","Full","BLM3_fit",0.160952786329797,0.00355145890481991,0.154122440397121,0.158629388322367,0.160977169131618,0.163294787955867,0.167997067149577,1.00203665775093,1300,NA
"11","SynCalForam","Full","BLM3_fit",0.0401613171288752,0.0019251838640923,0.0363436591137638,0.0388388593280656,0.0401819224910456,0.0415214337343015,0.0437905747571848,1.01999531552058,110,NA
"12","SynCalForam","Full","BLM3_fit",0.0387085981348124,0.000348578235591259,0.0380173038940166,0.0384789680161487,0.0387042481522186,0.0389370593228201,0.0394213558539879,1.00153614315813,1900,NA
"13","SynCalForam","Full","BLM3_fit",0.99709340180038,0.00469843393786787,0.981943531074371,0.997255499375287,0.999179708061505,0.999649105233776,0.999802914716869,1.00082881406891,3000,NA
"14","SynCalForam","Full","BLM3_fit",-5285.18418170378,38.0515732477538,-5360.67780772805,-5310.9018664579,-5284.47085597006,-5259.50497051237,-5213.177447621,1.00083915418404,3000,NA
"15","SynCalForam","Full","BLM3_fit",0.147316586260857,0.23633224137339,0.0101831652104478,0.0177310283235939,0.0418808175170912,0.139177601137256,0.924928128789537,1.00086421228282,3000,NA
"16","SynCalForam","Full","BLM3_fit",5452.25249819189,516.175856017264,4520.22196353124,5087.39595418166,5433.95268957446,5794.43581130425,6506.59031781113,1.00193244765289,1400,NA
"17","SynCalForam","Subsets","BLM1_fit",0.160921299850511,0.00383152203880494,0.153351305831722,0.158378596442942,0.160887046137009,0.163545300508639,0.168534591931388,1.00083985960926,3000,"2"
"18","SynCalForam","Subsets","BLM1_fit",0.038711407952116,0.000375131309793785,0.0379818452711412,0.0384565733450098,0.0387124560310121,0.0389646487112728,0.0394580329423301,1.00065943170064,3000,"2"
"19","SynCalForam","Subsets","BLM1_fit",-1942.46683839529,25.1064306227754,-1988.90886872301,-1960.05350817195,-1943.61787672845,-1926.05687467131,-1890.21456151154,1.00114134590824,3000,"2"
"20","SynCalForam","Subsets","BLM1_fit",4772.90305711812,659.878990427894,3603.4178969531,4291.35483448107,4739.72774916027,5209.11634055151,6173.17148732462,1.00087296382183,3000,"2"
"21","SynCalForam","Subsets","BLM1_fit_NoErrors",0.160861548705058,0.00392532823022976,0.153195552507768,0.158190169877029,0.160856171421876,0.163530698311152,0.168489008276788,1.00060614694811,3000,"2"
"22","SynCalForam","Subsets","BLM1_fit_NoErrors",0.038738725990152,0.000381777298744514,0.0379981483338861,0.0384792031113173,0.038739805691907,0.0389961630617833,0.0394833656006284,1.00050903369997,3000,"2"
"23","SynCalForam","Subsets","BLM1_fit_NoErrors",-909.0396095798,2.47477942784342,-911.829735715399,-910.867446354618,-909.67608591532,-907.957610543018,-902.754518053331,1.0023257352255,3000,"2"
"24","SynCalForam","Subsets","BLM1_fit_NoErrors",3585.01359564374,386.080627177354,2882.04729100695,3314.5244173226,3568.84212756245,3834.31598319233,4377.79285622774,1.00079687903321,3000,"2"
