"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"1","Full","BLM1_fit","alpha",0.14807749968446,0.00869541188693387,0.133752640909032,0.142168628394041,0.147595807236388,0.153213446273164,0.16821844893313,1.52821546714485,7
"2","Full","BLM1_fit","beta",0.0397871537800283,0.00074328965631878,0.0380180075993513,0.0393389582852213,0.0398256127406034,0.0403098346812611,0.0410056526544843,1.55785397003478,7
"3","Full","BLM1_fit","deviance",-6653.10973928742,50.7412977219613,-6752.49132506288,-6688.29926530442,-6654.27736261376,-6620.44611569663,-6555.89218659153,1.00119325620919,1500
"4","Full","BLM1_fit","tauy",1473.74063984602,96.6560525236904,1314.00490715875,1411.78226693787,1472.48340589308,1532.17090421445,1654.54239159494,1.0322172336664,1500
"5","Full","BLM1_fit_NoErrors","alpha",0.147334244688075,0.0109475264991319,0.136910871058972,0.143559841299647,0.147294980577974,0.1513968483292,0.159531501891233,1.13944806194387,1000
"6","Full","BLM1_fit_NoErrors","beta",0.0398280486097778,0.000990234657834672,0.038785552839844,0.0394748850013169,0.0398280812490408,0.0401715551418309,0.0407640337375355,1.06755601666495,1000
"7","Full","BLM1_fit_NoErrors","deviance",-3356.01947721161,52.0323225136293,-3387.60993530339,-3369.4152936479,-3358.7409812402,-3346.91822669726,-3325.1951163933,1.08161995508122,1500
"8","Full","BLM1_fit_NoErrors","tau",1434.46966750037,90.2822601912197,1289.33776853631,1380.74676221904,1434.24734342526,1487.52612022028,1599.54677835032,1.03225408415797,1500
"9","Full","BLM1_fit","alpha",0.149886138570143,0.0137238409762137,0.109044073619529,0.14628260575345,0.151209462184314,0.156190239672482,0.167498153816734,1.33632260225072,17
"10","Full","BLM1_fit","beta",0.0396625086528976,0.00119597986143522,0.0381511351055212,0.0391071141226769,0.0395487670495968,0.0399900934365609,0.0431737203943636,1.29760612773217,16
"11","Full","BLM1_fit","deviance",-6796.6549206522,50.3969805497002,-6889.97583117332,-6831.72190126819,-6798.69320638827,-6763.50985882572,-6693.75847669657,1.00217080720354,920
"12","Full","BLM1_fit","tauy",1419.27293625385,97.0890049934486,1243.32778888258,1364.59612651086,1422.70795241498,1481.24061831326,1592.72086845251,1.01772716139776,390
"13","Full","BLM1_fit_NoErrors","alpha",0.151501625853228,0.0128313830932767,0.140043651660125,0.14767999762032,0.151547822578273,0.155379905729974,0.162566842241131,1.06016604190827,980
"14","Full","BLM1_fit_NoErrors","beta",0.0395017001390779,0.0011265000053187,0.0385497123299491,0.0391520035893683,0.0394928646171495,0.0398473669572038,0.040496452937466,1.21563506865449,960
"15","Full","BLM1_fit_NoErrors","deviance",-3341.27983043704,69.6546414290865,-3373.01013951077,-3355.56140954335,-3344.76355335712,-3334.1636204999,-3310.17469874587,1.02180567159726,1500
"16","Full","BLM1_fit_NoErrors","tau",1416.02556124516,94.1416891324483,1266.63702852919,1364.80462073097,1414.90278586157,1471.46796582689,1578.07823617131,1.01622198635013,1500
"17","Full","BLM3_fit","alpha[1]",0.297070513429782,0.0617464191431965,0.212219446376126,0.252803215080469,0.279199358617824,0.328728590827727,0.441438017456485,2.52681606871627,4
"18","Full","BLM3_fit","alpha[2]",0.220161691584048,0.102045752125387,0.115040686698599,0.147504596395961,0.179778767868463,0.266314768047417,0.488489026095966,3.46092602653991,4
"19","Full","BLM3_fit","alpha[3]",0.173057309676489,0.0504366356642828,0.121169765581909,0.138107661032175,0.159479410418087,0.189827851390097,0.31478093142139,1.03881618185195,67
"20","Full","BLM3_fit","alpha[4]",0.179700577523771,0.0216705859126191,0.164363143437672,0.172561037038615,0.1768143572148,0.180770150081357,0.219163084806999,1.0109488594286,1500
"21","Full","BLM3_fit","alpha[5]",0.0902808432916619,0.0160763361526852,0.0763564157886614,0.0838869990015094,0.0881427642634489,0.0934309213941887,0.110751194805784,1.08230440109301,130
"22","Full","BLM3_fit","beta[1]",0.0274901943858985,0.00511797462128041,0.0155310586475372,0.0248667877020761,0.028978095650555,0.0311696226255805,0.034483302168094,2.4629004976431,4
"23","Full","BLM3_fit","beta[2]",0.0332425192815051,0.00877178291123997,0.0102089540152921,0.0292452105853716,0.0367089461104481,0.039470131276212,0.0422671459092605,2.42762561163669,4
"24","Full","BLM3_fit","beta[3]",0.0377521290162949,0.00441142780508849,0.0253380243148892,0.036269150442677,0.0389764252951756,0.0407911002439468,0.0422251336333613,1.09096541297168,69
"25","Full","BLM3_fit","beta[4]",0.0356369533113497,0.00340216125358858,0.0295452339577567,0.0354729064460019,0.0361056270817818,0.0367717552577678,0.0380122687535675,1.01406615408138,1500
"26","Full","BLM3_fit","beta[5]",0.040809022644115,0.00199037880105477,0.0385319249280468,0.0405264628930053,0.0410719085669542,0.041514015987347,0.0423044084856751,1.20283430173988,260
"27","Full","BLM3_fit","conditionalR2",0.994004513263197,0.0100198031228563,0.964318549101244,0.994315710880452,0.998496783940827,0.999348268480198,0.99962743509462,1.00075790335554,1500
"28","Full","BLM3_fit","deviance",-5954.07619041968,52.1625546941451,-6051.8632772007,-5988.58463571007,-5955.81425511208,-5919.60166370153,-5848.83329425459,1.00855465723872,250
"29","Full","BLM3_fit","marginalR2",0.150584889788367,0.241164521190136,0.0101962338084124,0.0168147613646608,0.0382587516802286,0.142505318830832,0.918804211645119,1.00022522675057,1500
"30","Full","BLM3_fit","alpha[1]",0.201203585629507,0.0955262526336621,-0.0553604565951178,0.15429798817854,0.237576602279731,0.263331722530489,0.312658059578024,2.81905088930392,4
"31","Full","BLM3_fit","alpha[2]",0.21381692705832,0.0738749243471895,0.11978969913874,0.15606913660178,0.185252116417236,0.286432273748173,0.36607102855745,4.01082181980444,3
"32","Full","BLM3_fit","alpha[3]",0.176466223850558,0.0390240635225736,0.138614792496634,0.152221807730477,0.16371019126664,0.187400434763882,0.297754468401904,1.0733220713537,54
"33","Full","BLM3_fit","alpha[4]",0.174467451706193,0.024462872218431,0.158892436226763,0.166239983207776,0.170757314098795,0.175902695850184,0.218386110993448,1.10901673059994,120
"34","Full","BLM3_fit","alpha[5]",0.0825852033942612,0.0236535428050274,0.0663479425497221,0.0751479015861108,0.079785984449032,0.0844160009510133,0.122029907544718,1.04377460850426,200
"35","Full","BLM3_fit","beta[1]",0.0353860957092715,0.00787993242616312,0.0261834357928535,0.0302243829631057,0.0324306098003613,0.0392589722083486,0.0566140278158969,3.04347206401646,4
"36","Full","BLM3_fit","beta[2]",0.0338056109288869,0.00630960281312293,0.0209914620654567,0.0275617281503836,0.0362536455400646,0.0387508158233999,0.0418572590331114,4.4503679603444,3
"37","Full","BLM3_fit","beta[3]",0.0374077150981424,0.00334851425814408,0.0268768332966005,0.0365013846528309,0.0385279993016207,0.039511110683713,0.0406658505286946,1.09991211968057,50
"38","Full","BLM3_fit","beta[4]",0.0363309850341174,0.00366085933801936,0.0295221048348245,0.0362097888171296,0.0368976182364126,0.0375464350282085,0.0386710933328576,1.14258432826601,120
"39","Full","BLM3_fit","beta[5]",0.041592587857327,0.0025212167564844,0.0372567895550101,0.041432617994531,0.0419090315861031,0.0423979371708203,0.0433489953361438,1.0860972575093,410
"40","Full","BLM3_fit","conditionalR2",0.994672397100729,0.00897487564661203,0.966605876536618,0.995579057260074,0.998521813078256,0.99932608730545,0.999625792571302,1.00015376063905,1500
"41","Full","BLM3_fit","deviance",-5925.11190538758,50.495956634701,-6017.27514363099,-5959.80127614197,-5927.69298663541,-5893.44139348301,-5816.47173243442,1.00075304128958,1500
"42","Full","BLM3_fit","marginalR2",0.135633735410373,0.223823046870041,0.0101739519785318,0.0173431371407187,0.0364277024611827,0.113050856741087,0.889045641431392,1.00026757289795,1500
