"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Forams","Forams","Conditional","BLM1_fit",0.933828270539716,0.928525616336208,0.948351986233592
"2","Forams","Forams","Conditional","BLM1_fit_NoErrors",0.934423307991445,0.929790021532585,0.948882894972024
"3","Forams","Forams","Conditional","BLM3_fit",0.995627864821001,0.994693080132783,0.996652533183373
"4","Forams","Forams","Marginal","BLM3_fit",0.0355951967203807,0.0350245971511845,0.0369727764643333
"5","Forams","3","BLM1_fit",NA,0.963624938618056,0.96069111086923,0.964788119467047
"6","Forams","3","BLM1_fit_NoErrors",NA,0.963781146570544,0.961750334815037,0.964707000736036
"7","Forams","1","BLM1_fit",NA,0.586861226339537,0.00655786053774587,0.604192109640778
"8","Forams","1","BLM1_fit_NoErrors",NA,0.404704956153806,0.00312277615094307,0.60416577400858
"9","Forams","2","BLM1_fit",NA,0.655317823459539,0.448880174610859,0.745436503678977
"10","Forams","2","BLM1_fit_NoErrors",NA,0.706764506024746,0.609212997281546,0.755486287967705
