"","targetColumns","original","number","Freq"
"1","Mineralogy","A","1",167
"2","Mineralogy","Apatite","2",35
"3","Mineralogy","C","3",666
"4","Mineralogy","D","4",76
"5","Mineralogy","S","5",36
