"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","LARGEorSMALL","BLM1_NE","Full",0,0
"2","LARGEorSMALL","BLM3","Full",-24360.9557095523,212.908359426738
"3","LARGEorSMALL","BLM1_E","Full",-3865942.57392544,35207.958916703
"4","LARGEorSMALL","BLM3","2",0,0
"5","LARGEorSMALL","BLM1_NE","2",-2700.79705266403,34.8354090545204
"6","LARGEorSMALL","BLM1_E","2",-941632.354639376,14952.6193908661
"7","LARGEorSMALL","BLM1_NE","1",0,0
"8","LARGEorSMALL","BLM3","1",-2.34078717936364,1.72638207805349
"9","LARGEorSMALL","BLM1_E","1",-1362777.95237622,13735.805683504
"10","LARGEorSMALL","BLM3","3",0,0
"11","LARGEorSMALL","BLM1_NE","3",-13734.0664637019,1513.58946270441
"12","LARGEorSMALL","BLM1_E","3",-1315130.02746252,132650.730852533
