"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Lab","BLM1_NE","Full",0,0
"2","Lab","BLM3","Full",-106966.141969103,952.746135858594
"3","Lab","BLM1_E","Full",-8773882.60177243,77220.240730574
"4","Lab","BLM3","13",0,0
"5","Lab","BLM1_NE","13",-6949.66412104508,47.9670542348683
"6","Lab","BLM1_E","13",-1252712.39895301,10439.8786877727
"7","Lab","BLM3","1",0,0
"8","Lab","BLM1_NE","1",-2508.21578823826,21.8015427972845
"9","Lab","BLM1_E","1",-669787.937384071,7933.81018192833
"10","Lab","BLM3","2",0,0
"11","Lab","BLM1_NE","2",-4433.02411629773,80.4586625153527
"12","Lab","BLM1_E","2",-121742.3601141,2218.16041774084
"13","Lab","BLM3","15",0,0
"14","Lab","BLM1_NE","15",-8158.11614189224,95.3924782364244
"15","Lab","BLM1_E","15",-1700227.36744406,19931.0266854815
"16","Lab","BLM1_NE","8",0,0
"17","Lab","BLM3","8",-21289.3319337898,308.452410410031
"18","Lab","BLM1_E","8",-4780400.53725458,69258.9007740604
"19","Lab","BLM1_NE","5",0,0
"20","Lab","BLM3","5",-3296.55280123236,421.650551310194
"21","Lab","BLM1_E","5",-229504.227273791,24193.611085712
"22","Lab","BLM1_NE","9",0,0
"23","Lab","BLM3","9",-3122.7921764913,138.519960144355
"24","Lab","BLM1_E","9",-412505.44748904,18360.7700580575
"25","Lab","BLM1_NE","3",0,0
"26","Lab","BLM3","3",-1238.48742762692,70.7493438124754
"27","Lab","BLM1_E","3",-106603.899306476,6041.30944400397
"28","Lab","BLM3","6",0,0
"29","Lab","BLM1_NE","6",-3040.19482991165,129.06454020986
"30","Lab","BLM1_E","6",-2715501.32899035,122316.321797944
"31","Lab","BLM1_NE","14",0,0
"32","Lab","BLM3","14",-516.67309077591,76.9008504109273
"33","Lab","BLM1_E","14",-180940.383358015,19962.203707779
"34","Lab","BLM3","7",0,0
"35","Lab","BLM1_NE","7",-28652.9013560365,441.623525689632
"36","Lab","BLM1_E","7",-497915.471125945,7674.22713486107
"37","Lab","BLM3","10",0,0
"38","Lab","BLM1_NE","10",-10769.9513962865,1393.65878684815
"39","Lab","BLM1_E","10",-1330340.36476199,79784.7053681722
"40","Lab","BLM1_NE","12",0,0
"41","Lab","BLM3","12",-2099.34171713915,74.1523464038996
"42","Lab","BLM1_E","12",-93759.9714826391,3282.32046757119
"43","Lab","BLM3","17",0,0
"44","Lab","BLM1_NE","17",-1863.24345547237,63.4635039782992
"45","Lab","BLM1_E","17",-165749.498897753,5226.58089236373
"46","Lab","BLM1_NE","4",0,0
"47","Lab","BLM3","4",-5165.12954119468,978.231620562576
"48","Lab","BLM1_E","4",-245888.112941723,46417.7826746722
"49","Lab","BLM1_NE","16",0,0
"50","Lab","BLM3","16",-3892.12363010783,93.9150110531505
"51","Lab","BLM1_E","16",-40624.438729402,980.191198906758
"52","Lab","BLM3","11",0,0
"53","Lab","BLM1_NE","11",-139.501890638035,11.5853888617334
"54","Lab","BLM1_E","11",-26622.1961849776,2449.59519143091
