"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Lab","BLM1_NE","Full",0,0
"2","Lab","BLM3","Full",-112235.200992675,1017.07154450161
"3","Lab","BLM1_E","Full",-1970167.48613733,18262.0147420727
"4","Lab","BLM3","15",0,0
"5","Lab","BLM1_NE","15",-8309.18389098565,62.9683357609467
"6","Lab","BLM1_E","15",-1333939.53012734,11034.5510824961
"7","Lab","BLM3","1",0,0
"8","Lab","BLM1_NE","1",-67.3952949350989,0.996686241055788
"9","Lab","BLM1_E","1",-375401.118824854,4450.99530768793
"10","Lab","BLM3","2",0,0
"11","Lab","BLM1_NE","2",-27547.2954880103,501.937532155586
"12","Lab","BLM1_E","2",-168264.787231683,3065.46996149038
"13","Lab","BLM3","17",0,0
"14","Lab","BLM1_NE","17",-8996.09907332453,105.465819459881
"15","Lab","BLM1_E","17",-950444.579640012,11141.7868148173
"16","Lab","BLM3","9",0,0
"17","Lab","BLM1_NE","9",-11962.0836434294,173.313899547546
"18","Lab","BLM1_E","9",-11929917.7871878,172842.267579104
"19","Lab","BLM3","6",0,0
"20","Lab","BLM1_NE","6",-8483.41766514253,896.290761492922
"21","Lab","BLM1_E","6",-221766.401035808,23307.7464265029
"22","Lab","BLM3","10",0,0
"23","Lab","BLM1_NE","10",-1645.53647757206,64.0259017436843
"24","Lab","BLM1_E","10",-430687.576578768,19461.1773675902
"25","Lab","BLM3","11",0,0
"26","Lab","BLM1_NE","11",-3506.90934042307,66.070108007535
"27","Lab","BLM1_E","11",-538550.095226202,10145.2049636377
"28","Lab","BLM3","4",0,0
"29","Lab","BLM1_NE","4",-719.383819953356,41.4141400857091
"30","Lab","BLM1_E","4",-133054.413529101,7515.85864100539
"31","Lab","BLM3","7",0,0
"32","Lab","BLM1_NE","7",-1462.98109670766,67.1449998504658
"33","Lab","BLM1_E","7",-388385.373853278,17519.5065920233
"34","Lab","BLM3","16",0,0
"35","Lab","BLM1_NE","16",-1856.52402872044,220.481321247903
"36","Lab","BLM1_E","16",-289702.088267193,31906.0243720904
"37","Lab","BLM1_NE","8",0,0
"38","Lab","BLM3","8",-38913.7653397774,599.77413626363
"39","Lab","BLM1_E","8",-291110.648755482,4486.8227175917
"40","Lab","BLM1_NE","12",0,0
"41","Lab","BLM3","12",-2495.57944447869,156.501393762315
"42","Lab","BLM1_E","12",-275534183.165948,16813264.1340952
"43","Lab","BLM1_NE","14",0,0
"44","Lab","BLM3","14",-541.869361312065,14.3260612392639
"45","Lab","BLM1_E","14",-231965.603461428,8101.95086158782
"46","Lab","BLM1_NE","19",0,0
"47","Lab","BLM3","19",-992.093330867063,344.221285726343
"48","Lab","BLM1_E","19",-1034571.59151555,32436.4979247375
"49","Lab","BLM1_NE","5",0,0
"50","Lab","BLM3","5",-436.939371660183,23.4971842715093
"51","Lab","BLM1_E","5",-133125.175170558,10779.2775218205
"52","Lab","BLM1_E","18",0,0
"53","Lab","BLM3","18",-4882.58112805779,618.538939155208
"54","Lab","BLM1_NE","18",-10230.9684667869,519.889318575436
"55","Lab","BLM3","13",0,0
"56","Lab","BLM1_NE","13",-1171.73031057183,144.475098641654
"57","Lab","BLM1_E","13",-126354.253250717,11446.6616028848
"58","Lab","BLM1_NE","3",0,0
"59","Lab","BLM3","3",-1583.71147004702,26.4764533567536
"60","Lab","BLM1_E","3",-26719.4222483035,444.661645650169
