"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_NE","Full",0,0
"2","Mineralogy","BLM3","Full",-92787.9981723138,825.928513173572
"3","Mineralogy","BLM1_E","Full",-1609737.74821816,15056.4472459436
"4","Mineralogy","BLM3","3",0,0
"5","Mineralogy","BLM1_NE","3",-9117.29481220025,66.4477148871067
"6","Mineralogy","BLM1_E","3",-1947240.58625571,18422.2050368302
"7","Mineralogy","BLM3","1",0,0
"8","Mineralogy","BLM1_NE","1",-4803.54351150422,57.9260437120803
"9","Mineralogy","BLM1_E","1",-693436.029454647,8565.29649755267
"10","Mineralogy","BLM1_NE","2",0,0
"11","Mineralogy","BLM3","2",-21512.126365088,425.474360482737
"12","Mineralogy","BLM1_E","2",-683892.479841681,13510.8721733975
"13","Mineralogy","BLM1_NE","4",0,0
"14","Mineralogy","BLM3","4",-2823.65098966663,164.739260052672
"15","Mineralogy","BLM1_E","4",-146158.901860975,8769.2533890463
"16","Mineralogy","BLM3","5",0,0
"17","Mineralogy","BLM1_NE","5",-243.608876351601,15.8245100426262
"18","Mineralogy","BLM1_E","5",-86800.0450646895,6008.4164554586
