"","targetColumns","Dataset","Model","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","Material"
"1","Mollusk","Full","BLM1_fit",0.155046396632418,0.00315140441231958,0.148749791644292,0.15290768745929,0.155098393861157,0.157217947713946,0.161212744682684,1.00581639754663,380,NA
"2","Mollusk","Full","BLM1_fit",0.0391946811448529,0.000279392823377593,0.0386504655431139,0.0390035029954336,0.0391894736715145,0.0393864054860481,0.0397447188501803,1.00505056024064,440,NA
"3","Mollusk","Full","BLM1_fit",-9636.04790511328,54.9972799624116,-9742.17954005685,-9672.55475496946,-9637.45731355486,-9600.76633232943,-9523.79763124618,1.0007166260718,3000,NA
"4","Mollusk","Full","BLM1_fit",3807.10113239127,244.946338186053,3346.92258854027,3642.14496828055,3802.70403253285,3968.61592110233,4303.18628983381,1.00138219759845,2300,NA
"5","Mollusk","Full","BLM1_fit_NoErrors",0.152372511044493,0.00318406434440445,0.146025821397296,0.15025971880607,0.152403200462917,0.154505336560403,0.158372018564147,1.00072876266384,3000,NA
"6","Mollusk","Full","BLM1_fit_NoErrors",0.0393920620205966,0.000283902094743113,0.0388613578316772,0.0391996100417878,0.0393864567059269,0.0395811487924136,0.0399688443324509,1.0005419365116,3000,NA
"7","Mollusk","Full","BLM1_fit_NoErrors",-4208.89913364919,2.48476829364961,-4211.73261850666,-4210.70395433326,-4209.54434371356,-4207.74687119324,-4202.33547399519,1.00212067442989,3000,NA
"8","Mollusk","Full","BLM1_fit_NoErrors",2686.76737969148,134.13798758773,2432.18829539601,2593.86283026889,2684.03030217485,2777.14823358363,2950.27667628059,1.00055731711384,3000,NA
"9","Mollusk","Full","BLM3_fit",0.225621958470207,0.0247161854813552,0.177890283395157,0.208975903316245,0.225124488351732,0.241113387243257,0.276336407880148,1.01051268373332,240,NA
"10","Mollusk","Full","BLM3_fit",0.1534418250718,0.0031494280518038,0.147197706057333,0.151393746583851,0.153435218679229,0.155560859862856,0.159644151718227,1.00051639219312,3000,NA
"11","Mollusk","Full","BLM3_fit",0.0332610463750322,0.00203244353313804,0.0290654282476695,0.0319994842346725,0.0333231129796229,0.0346268563043764,0.0371299801461537,1.00823097096703,270,NA
"12","Mollusk","Full","BLM3_fit",0.0393638608475283,0.000283412976209163,0.0387923264670704,0.0391795686231731,0.0393624987329477,0.0395439479415834,0.0399307922164576,1.00059238386131,3000,NA
"13","Mollusk","Full","BLM3_fit",0.995753912004739,0.0067045062903998,0.973811601175882,0.995819669945239,0.998820657770958,0.999493938198582,0.999702762628668,1.00096448919619,3000,NA
"14","Mollusk","Full","BLM3_fit",-9637.16852563415,55.8358189098064,-9741.0927674354,-9675.98136179277,-9637.68421593079,-9600.59661458531,-9523.09494673729,1.0018420295192,1500,NA
"15","Mollusk","Full","BLM3_fit",0.141142585536976,0.223031426194497,0.00997627805796706,0.0168596931155775,0.038751407741425,0.138265467019112,0.889611675908662,1.00166662964343,1700,NA
"16","Mollusk","Full","BLM3_fit",3834.20811242022,244.17539475801,3379.30001714746,3669.03544243561,3822.27435985345,3999.09435489673,4335.70866610699,1.00119775212628,2900,NA
"17","Mollusk","Subsets","BLM1_fit",0.153422011480957,0.00327078589012048,0.146632003647623,0.151236840454306,0.153533998369146,0.155702223843573,0.1596679350154,1.00103365453648,3000,"2"
"18","Mollusk","Subsets","BLM1_fit",0.0393641409433348,0.000297656238372111,0.0387974291450021,0.0391539737036927,0.0393580461362945,0.0395637303837772,0.0399805776316174,1.00124972752862,2700,"2"
"19","Mollusk","Subsets","BLM1_fit",-8487.29090930631,51.2543484820536,-8586.88767678366,-8521.92902460033,-8487.80902586155,-8453.84005336999,-8381.94227105608,1.00145564807276,2100,"2"
"20","Mollusk","Subsets","BLM1_fit",3513.79003811861,239.394985440969,3053.88231090117,3353.79974392855,3504.90860905154,3668.35653828157,4012.01165330582,1.00155499941427,2200,"2"
"21","Mollusk","Subsets","BLM1_fit_NoErrors",0.150940128461958,0.00331203601807692,0.144390809219913,0.148801551139065,0.150939821237087,0.153150998164603,0.157293324405092,1.00164429108283,2100,"2"
"22","Mollusk","Subsets","BLM1_fit_NoErrors",0.0395451610222011,0.000301446856272393,0.0389586130682158,0.0393419714239252,0.0395430824328429,0.0397412709647453,0.0401502742134393,1.00114678921385,3000,"2"
"23","Mollusk","Subsets","BLM1_fit_NoErrors",-3517.14652593345,2.59013519764855,-3520.06703870477,-3519.05860617286,-3517.83006976128,-3515.92778357226,-3510.32191737167,1.00055988134703,3000,"2"
"24","Mollusk","Subsets","BLM1_fit_NoErrors",2557.57952861198,140.497135587555,2293.92951315718,2462.04490286251,2553.4671923231,2649.558292037,2840.03362847197,1.00056048821259,3000,"2"
"25","Mollusk","Subsets","BLM3_fit",0.153333300204222,0.00326637890456162,0.146665902508601,0.151221999382378,0.153330434857255,0.155499693853195,0.159574879365979,1.00269126468482,910,"2"
"26","Mollusk","Subsets","BLM3_fit",0.0393724455183754,0.000296867193941228,0.0387842866936606,0.0391759899971685,0.0393727906373077,0.0395670631246957,0.0399644152751556,1.00200057277606,1300,"2"
"27","Mollusk","Subsets","BLM3_fit",0.995864421494332,0.00668007073515114,0.973858343206473,0.996069894584476,0.998861729469209,0.999490612282399,0.999701085327335,1.00080865562255,3000,"2"
"28","Mollusk","Subsets","BLM3_fit",-8486.88093436532,51.9235813747948,-8586.38160718686,-8522.65475835358,-8486.98697695593,-8452.78544716886,-8385.75400539906,1.00059517063593,3000,"2"
