"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Mollusk","Full",-9822.16159904007,-4350.55919396668,-9822.21009695768
"2","Mollusk","2",-8672.00018400665,-3659.21119555611,-8672.19168617955
"3","Mollusk","1",-1147.50091924577,-705.888493936524,-1147.47962411169
