"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_NE","Full",0,0
"2","Mineralogy","BLM3","Full",-114986.350138653,1015.82235976424
"3","Mineralogy","BLM1_E","Full",-39243757.8078913,343200.89367066
"4","Mineralogy","BLM3","3",0,0
"5","Mineralogy","BLM1_NE","3",-13326.6428187697,119.503526535628
"6","Mineralogy","BLM1_E","3",-71062983.0123957,649725.201649369
"7","Mineralogy","BLM3","1",0,0
"8","Mineralogy","BLM1_NE","1",-5980.19192754144,72.7362179426135
"9","Mineralogy","BLM1_E","1",-2515110.3403806,32432.7342781451
"10","Mineralogy","BLM1_NE","2",0,0
"11","Mineralogy","BLM3","2",-6485.15100618696,147.741768773722
"12","Mineralogy","BLM1_E","2",-377964.838110415,8609.71880968763
"13","Mineralogy","BLM1_NE","4",0,0
"14","Mineralogy","BLM3","4",-1289.83986681473,96.6459665097713
"15","Mineralogy","BLM1_E","4",-140836.764495854,11862.8395226331
"16","Mineralogy","BLM1_NE","5",0,0
"17","Mineralogy","BLM3","5",-952.029169462591,64.4306898282888
"18","Mineralogy","BLM1_E","5",-1448363.4534034,99444.1908792214
