"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","CDESorICDES","Full","BLM1_fit",NA,0.0392177030656734,0.000281372722880402,0.154812906175717,0.00314356190221394
"2","CDESorICDES","Full","BLM1_fit_NoErrors",NA,0.0394042516451144,0.000282314064094858,0.152218349269567,0.00316631382599889
"3","CDESorICDES","Full","BLM3","1",0.039611514759817,0.000343161755838,0.152688541758919,0.00367967851442134
"4","CDESorICDES","Full","BLM3","2",0.0388848752287133,0.00048479015173744,0.157606634655101,0.00559501216031418
"5","CDESorICDES","Full","Deming",NA,0.041978556878459,0.00212622979505736,0.126329210696394,0.0198030233161454
"6","CDESorICDES","Full","LM",NA,0.0393906600302031,0.00036783466022797,0.152369931339833,0.00414055354728693
"7","CDESorICDES","Full","Weighted",NA,0.0392960777264998,0.000299929332185462,0.153473165621312,0.00338915986129818
"8","CDESorICDES","Full","York",NA,0.0390658930547228,0.000479210391558494,0.157560851416286,0.00543958824191385
"9","CDESorICDES","subsets","BLM1_fit","1",0.0395991106530035,0.000453117276038946,0.152434664701281,0.00476334349718144
"10","CDESorICDES","subsets","BLM1_fit","2",0.0388929706297724,0.000405838173422889,0.157515056968968,0.00468791179602188
"11","CDESorICDES","subsets","BLM1_fit_NoErrors","1",0.0396769353926556,0.00045634328967623,0.150476904258898,0.0048121446245623
"12","CDESorICDES","subsets","BLM1_fit_NoErrors","2",0.0390538054605234,0.000418967512277113,0.155710637868904,0.00482943619847278
"13","CDESorICDES","subsets","BLM3","1",0.0395781328489327,0.000437066519837468,0.152609936239927,0.00467626788258125
"14","CDESorICDES","subsets","BLM3","2",0.0388565601224914,0.000442963852362197,0.157903190371541,0.00510336236504539
"15","CDESorICDES","subsets","Deming","1",0.0399374166817468,0.00196467067570472,0.135684893985811,0.0195274287849597
"16","CDESorICDES","subsets","Deming","2",0.038597628939324,0.000974842729588597,0.165104723985851,0.00825472300016638
"17","CDESorICDES","subsets","LM","1",0.0395772868052493,1.81366349099618e-05,0.151699448991487,0.00203973156814456
"18","CDESorICDES","subsets","LM","2",0.0391727813201055,8.67054720136325e-05,0.153594559166072,0.00124361787436563
"19","CDESorICDES","subsets","Weighted","1",0.0390287816399188,0.000535709099153701,0.156972924200048,0.00526383424066124
"20","CDESorICDES","subsets","Weighted","2",0.0384678899514008,0.00027140025961737,0.162687597695455,0.00340064872777217
"21","CDESorICDES","subsets","York","1",0.0387918923082656,0.000877875858356471,0.158919548699841,0.00322201061433231
"22","CDESorICDES","subsets","York","2",0.0384729721784775,0.00111249797794016,0.163698614684867,0.0163449006766961
