"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Lab","Full",-9438.86249114901,-4086.63901923941,-9449.42642513525
"2","Lab","3",-683.159274445077,-285.144665391604,-683.213475190914
"3","Lab","9",-516.28687887045,-285.242114032537,-516.266072729907
"4","Lab","11",-276.458681754754,-116.537219082291,-276.452884533459
"5","Lab","5",-304.065630171665,-147.420356313618,-304.060294695786
"6","Lab","6",-686.586642765919,-282.404266903871,-686.596362600209
"7","Lab","13",-153.922147332214,-93.5302432874006,-153.873780606224
"8","Lab","7",-145.895160453111,-81.6527971319109,-145.983444313927
"9","Lab","2",-366.617107530215,-146.344290023344,-366.542523257633
"10","Lab","8",-465.404729167839,-184.34541532971,-465.366506340467
"11","Lab","12",-2542.1889421022,-1243.11657511909,-2542.02815491467
"12","Lab","15",-627.042508606868,-311.548314147541,-627.021557633227
"13","Lab","14",-735.897473361285,-290.257791840339,-735.960312651402
"14","Lab","1",-1355.8979947917,-597.829206806984,-1355.99794400237
"15","Lab","10",-443.385097418738,-235.19265994309,-443.479542788626
"16","Lab","4",-149.711243889527,-80.1065729948844,-149.722021108329
