"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Corals","Full",-9636.53148912866,-4208.92774402055,-9636.68935525627
"2","Corals","1",-9636.88974016214,-4208.9221426872,-9636.73183384899
