"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.998656148691389,0.998478225139309,0.998766444528383
"2","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.037850003607928,0.0366636750948293,0.0399037379335154
"3","Mineralogy","Mineralogy","BLM1_fit",NA,0.930222675102971,0.925514600877606,0.93327081292161
"4","Mineralogy","Mineralogy","BLM1_fit_NoErrors",NA,0.930534743566056,0.926211888946223,0.933224830891535
"5","Mineralogy","4","BLM1_fit",NA,0.94503408748372,0.349060462023512,0.980799785787613
"6","Mineralogy","4","BLM1_fit_NoErrors",NA,0.945513911632528,0.384540489824592,0.980827273485156
"7","Mineralogy","1","BLM1_fit",NA,0.675468199876192,0.317869352591759,0.76888225000383
"8","Mineralogy","1","BLM1_fit_NoErrors",NA,0.703828032131117,0.406984970203261,0.770268811532015
"9","Mineralogy","3","BLM1_fit",NA,0.917445106178759,0.910402771839081,0.921783061810411
"10","Mineralogy","3","BLM1_fit_NoErrors",NA,0.917670863837814,0.911050187959124,0.921803323493218
"11","Mineralogy","5","BLM1_fit",NA,0.975693129101964,0.750238585028046,0.98836328712692
"12","Mineralogy","5","BLM1_fit_NoErrors",NA,0.975859543819881,0.743765362691518,0.98835357592403
"13","Mineralogy","2","BLM1_fit",NA,0.658491991028498,0.00340866019946033,0.896203790931541
"14","Mineralogy","2","BLM1_fit_NoErrors",NA,0.669787339834663,0.00360598639342997,0.896053215070081
