"","targetMaterialColumn","dataset","R2 type","model","mean","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.998675392995275,0.998570253886383,0.998780532104168
"2","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.036645881445613,0.035332000656375,0.0379597622348509
"3","Mineralogy","Mineralogy","BLM1_fit",NA,0.962021230156987,0.960044303203222,0.963246799331156
"4","Mineralogy","Mineralogy","BLM1_fit_NoErrors",NA,0.962239044185485,0.961236825619645,0.96325077472224
"5","Mineralogy","4","BLM1_fit",NA,0.957046401543144,0.874831211907308,0.973684995441576
"6","Mineralogy","4","BLM1_fit_NoErrors",NA,0.97011857418825,0.959641700714569,0.973691312757807
"7","Mineralogy","1","BLM1_fit",NA,0.873098519919963,0.678494341309276,0.91022575496973
"8","Mineralogy","1","BLM1_fit_NoErrors",NA,0.899202831734426,0.882011652722219,0.909667332544357
"9","Mineralogy","3","BLM1_fit",NA,0.953037209050681,0.943693129797119,0.955920621456818
"10","Mineralogy","3","BLM1_fit_NoErrors",NA,0.953953025656366,0.952358057366796,0.95563392714135
"11","Mineralogy","5","BLM1_fit",NA,0.943286351734637,0.714015654184826,0.983444279228419
"12","Mineralogy","5","BLM1_fit_NoErrors",NA,0.977833638550246,0.953523577887331,0.983509658035849
"13","Mineralogy","2","BLM1_fit",NA,0.748931127156629,0.191692550506442,0.943951340107205
"14","Mineralogy","2","BLM1_fit_NoErrors",NA,0.911854288664405,0.731699571686655,0.944124810494605
