"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Lab","Full",-8140.22461200858,-4157.44504713673,-8147.18654166173
"2","Lab","3",-683.268484537944,-285.143795323903,-683.128476519341
"3","Lab","9",-516.265000188659,-285.248465758129,-516.383043153396
"4","Lab","11",-276.415430776643,-116.545823755302,-276.463690524538
"5","Lab","5",-304.107377837326,-147.410232371059,-304.026310384969
"6","Lab","6",-686.618199609547,-282.406013465126,-686.631363393016
"7","Lab","13",-153.929336640207,-93.5167411340471,-153.859050745246
"8","Lab","7",-145.933839613204,-81.6072209205187,-145.892874267297
"9","Lab","2",-199.830073605137,-140.322745850801,-199.771178646912
"10","Lab","8",-269.780739666952,-200.027898861771,-269.599815011347
"11","Lab","12",-1754.82558227731,-1065.41478695623,-1754.8575428181
"12","Lab","15",-627.009468557129,-311.566335546918,-627.039578075124
"13","Lab","14",-806.84507807581,-498.374175090321,-806.746389526558
"14","Lab","1",-1129.19052146587,-585.376345709787,-1129.19020940068
"15","Lab","10",-443.176791560517,-235.189384660036,-443.363060530701
"16","Lab","4",-149.72730056312,-80.1132657721942,-149.674831853566
