"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-5446.69152785025,-5523.73672218592,-5369.64633351458
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-1456.74486534408,-1973.92754561285,-939.562185075313
"3","Mineralogy","Mineralogy","BLM3_fit",-4625.99429127723,-4648.27968541395,-4603.70889714051
"4","Mineralogy","4","BLM1_fit",-129.901869205524,-138.004432558397,-121.799305852651
"5","Mineralogy","4","BLM1_fit_NoErrors",-19.5893338428044,-20.5578065218525,-18.6208611637563
"6","Mineralogy","1","BLM1_fit",-521.773763155705,-528.982154924519,-514.565371386891
"7","Mineralogy","1","BLM1_fit_NoErrors",-179.585254600109,-197.952385340947,-161.21812385927
"8","Mineralogy","3","BLM1_fit",-4492.6021627415,-4519.01827043789,-4466.18605504511
"9","Mineralogy","3","BLM1_fit_NoErrors",-1828.38115635234,-1872.70266020507,-1784.05965249962
"10","Mineralogy","5","BLM1_fit",-134.389212600442,-135.556939492861,-133.221485708024
"11","Mineralogy","5","BLM1_fit_NoErrors",-23.7109277914979,-24.6173155334552,-22.8045400495405
"12","Mineralogy","2","BLM1_fit",-83.8727355323854,-83.8860000847137,-83.859470980057
"13","Mineralogy","2","BLM1_fit_NoErrors",-9.4444569110532,-10.5948069482137,-8.29410687389268
