"","targetMaterialColumn","dataset","R2 type","model","mean","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.998647127999268,0.998601675249241,0.998798725712284
"2","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.0373500373239992,0.0358614080822102,0.0384270786602583
"3","Mineralogy","Mineralogy","BLM1_fit",NA,0.962122588368821,0.960750677683077,0.963089857892186
"4","Mineralogy","Mineralogy","BLM1_fit_NoErrors",NA,0.962156427782643,0.961007500293834,0.963116113234463
"5","Mineralogy","4","BLM1_fit",NA,0.951932828182773,0.870412120943965,0.974534866061092
"6","Mineralogy","4","BLM1_fit_NoErrors",NA,0.970434332085552,0.955560941446884,0.974553594444571
"7","Mineralogy","1","BLM1_fit",NA,0.905516562953822,0.737634392484219,0.916389127785943
"8","Mineralogy","1","BLM1_fit_NoErrors",NA,0.905856733876444,0.88954946586374,0.915854165445654
"9","Mineralogy","3","BLM1_fit",NA,0.939030963495223,0.928049075978924,0.942583021075112
"10","Mineralogy","3","BLM1_fit_NoErrors",NA,0.939464096862325,0.937085714499591,0.941831110050846
"11","Mineralogy","5","BLM1_fit",NA,0.962343687141234,0.829174285875819,0.989789472703571
"12","Mineralogy","5","BLM1_fit_NoErrors",NA,0.986280039792952,0.97255821399948,0.989809635271768
"13","Mineralogy","2","BLM1_fit",NA,0.733496378556105,0.0118544598525949,0.939360313795155
"14","Mineralogy","2","BLM1_fit_NoErrors",NA,0.899801339627883,0.698816481015399,0.939546862807761
