"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Mineralogy","Full",-9316.7644990455,-4071.67422469987,-9341.27029927889
"2","Mineralogy","4",-338.943111232752,-202.114104886774,-338.909100769
"3","Mineralogy","1",-1177.13936580882,-734.062364695805,-1177.26070693365
"4","Mineralogy","3",-7384.58476805712,-3007.38327168929,-7384.55450178227
"5","Mineralogy","5",-196.837659230779,-120.415518799854,-196.906823780934
"6","Mineralogy","2",-240.007640159043,-182.426595958856,-239.895967104488
