"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","SyntheticVSForam","Full",-9464.82892469539,-4240.84522572295,-9465.47827600988
"2","SyntheticVSForam","2",-3700.59892228791,-1980.07008770659,-3700.74986153792
"3","SyntheticVSForam","3",-2426.72346281154,-1143.26604155165,-2426.69323586681
"4","SyntheticVSForam","1",-3341.00295898673,-1155.76399001686,-3341.16555212134
