"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-5368.71932147606,-5386.65115476376,-5274.97851265692
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-2449.45895875874,-2884.53031461023,-2212.36810971608
"3","Mineralogy","Mineralogy","BLM3_fit",-4688.77141360237,-4729.12814708289,-4647.68523714319
"4","Mineralogy","4","BLM1_fit",-122.122471138554,-129.74288969428,-108.064617814301
"5","Mineralogy","4","BLM1_fit_NoErrors",-20.4477614757935,-21.9994008693068,-18.553104398624
"6","Mineralogy","1","BLM1_fit",-526.110040223777,-551.125224299443,-484.936964536599
"7","Mineralogy","1","BLM1_fit_NoErrors",-236.841227657814,-251.547393953657,-198.74886377612
"8","Mineralogy","3","BLM1_fit",-4452.64275471836,-4507.74772496904,-4425.85225360977
"9","Mineralogy","3","BLM1_fit_NoErrors",-1610.57972398064,-1990.9243465135,-1420.24234514494
"10","Mineralogy","5","BLM1_fit",-130.525453910865,-139.293170287537,-127.177655390048
"11","Mineralogy","5","BLM1_fit_NoErrors",-21.7684966945852,-22.5867203838367,-20.3383778034246
"12","Mineralogy","2","BLM1_fit",-72.5725063851162,-77.9647476699369,-72.0529937003278
"13","Mineralogy","2","BLM1_fit_NoErrors",-9.32200952509547,-10.3921312508321,-7.35222635451454
