"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-4584.21460085383,-4632.73014714262,-4535.69905456504
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-1025.88899991213,-1616.78076376441,-434.997236059839
"3","Mineralogy","Mineralogy","BLM3_fit",-4651.63573137904,-4654.34552249052,-4648.92594026757
"4","Mineralogy","5","BLM1_fit",-121.1948924561,-129.618698388892,-112.771086523307
"5","Mineralogy","5","BLM1_fit_NoErrors",-52.457923593845,-56.849155245038,-48.0666919426521
"6","Mineralogy","2","BLM1_fit",-513.925729974603,-520.732681361675,-507.11877858753
"7","Mineralogy","2","BLM1_fit_NoErrors",-327.87147023464,-329.204309982774,-326.538630486506
"8","Mineralogy","4","BLM1_fit",-4229.47062255837,-4303.51731094454,-4155.42393417221
"9","Mineralogy","4","BLM1_fit_NoErrors",-1359.52843275628,-1455.11887861781,-1263.93798689475
"10","Mineralogy","6","BLM1_fit",-137.153698579957,-138.551046615556,-135.756350544358
"11","Mineralogy","6","BLM1_fit_NoErrors",-59.7230745679037,-63.3737376365361,-56.0724114992713
"12","Mineralogy","1","BLM1_fit",-242.165894478616,-248.489229207053,-235.84255975018
"13","Mineralogy","1","BLM1_fit_NoErrors",-125.651215442137,-130.294682281351,-121.007748602923
"14","Mineralogy","3","BLM1_fit",-67.2909738858399,-69.3475553665715,-65.2343924051082
"15","Mineralogy","3","BLM1_fit_NoErrors",-35.9655242258594,-39.3503087298729,-32.5807397218458
