"","targetMaterialColumn","OriginalCode","NumericCode","N"
"1","Mineralogy","A",1,87
"2","Mineralogy","Apatite",2,14
"3","Mineralogy","C",3,553
"4","Mineralogy","D",4,19
"5","Mineralogy","S",5,20
