"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_NE","Full",0,0
"2","Mineralogy","BLM3","Full",-55201.2761137019,1463.5176726224
"3","Mineralogy","BLM1_E","Full",-409845.289271115,11106.0605895985
"4","Mineralogy","BLM1_NE","2",0,0
"5","Mineralogy","BLM3","2",-3105.3641568223,80.3529787200232
"6","Mineralogy","BLM1_E","2",-795955.117441864,24141.7413786303
"7","Mineralogy","BLM3","1",0,0
"8","Mineralogy","BLM1_NE","1",-545.458303112547,233.470140601212
"9","Mineralogy","BLM1_E","1",-189205.928458094,8937.42118151879
"10","Mineralogy","BLM1_NE","4",0,0
"11","Mineralogy","BLM3","4",-1713.85092609599,110.954037486493
"12","Mineralogy","BLM1_E","4",-207634.625034431,14304.4223224643
"13","Mineralogy","BLM3","3",0,0
"14","Mineralogy","BLM1_NE","3",-532.014491299711,43.2187214897976
"15","Mineralogy","BLM1_E","3",-126018.506435904,11675.4008966374
