"","targetColumns","Dataset","Model","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","Material"
"1","NaturalSynthetic","Full","BLM1_fit",0.154858925375125,0.00313112733594416,0.148710958789376,0.152741513125909,0.154820203632397,0.15704275351916,0.160927196805725,1.00370009903081,630,NA
"2","NaturalSynthetic","Full","BLM1_fit",0.0392183258837552,0.000280357382257134,0.0386763903468975,0.0390282797657702,0.0392179773259266,0.0394094818518072,0.0397690125352615,1.00416167685909,550,NA
"3","NaturalSynthetic","Full","BLM1_fit",-9822.17635860836,56.1495314812142,-9932.43152239115,-9859.52644107203,-9823.32332992516,-9782.99287394409,-9713.53221046385,1.00114808970034,3000,NA
"4","NaturalSynthetic","Full","BLM1_fit",3846.40718204608,243.087156820606,3380.93951038069,3681.85604549497,3838.94610881458,4001.98167227056,4357.19692921717,1.00105282261518,3000,NA
"5","NaturalSynthetic","Full","BLM1_fit_NoErrors",0.151943058712861,0.00309465243787691,0.145967562846944,0.149807201952933,0.151925287018837,0.154032945198659,0.158092305386489,1.0011995258076,2900,NA
"6","NaturalSynthetic","Full","BLM1_fit_NoErrors",0.0394601098496916,0.000275931611420907,0.0389171859671054,0.0392700942084039,0.0394644778729137,0.0396521320696445,0.0399979886467097,1.00090260724603,3000,NA
"7","NaturalSynthetic","Full","BLM1_fit_NoErrors",-4350.52715610836,2.49061152585728,-4353.35931825795,-4352.34375328595,-4351.18168757921,-4349.32596647276,-4344.00065655483,1.00050917537169,3000,NA
"8","NaturalSynthetic","Full","BLM1_fit_NoErrors",2701.65971548776,132.088125760367,2444.41536185543,2613.03505324718,2700.43100242308,2788.58042268621,2971.09564631569,1.00108897655858,3000,NA
"9","NaturalSynthetic","Full","BLM3_fit",0.165138181476701,0.00905718038681644,0.148079149035404,0.159188469459286,0.16468998736584,0.171016812290042,0.183603172553409,1.00971537509172,1100,NA
"10","NaturalSynthetic","Full","BLM3_fit",0.154543070089891,0.00336207024650923,0.147889484132876,0.152306064057049,0.154509999145323,0.156788298719313,0.160894359752024,1.0007140371489,3000,NA
"11","NaturalSynthetic","Full","BLM3_fit",0.0384029780294286,0.000769272768972951,0.0368307745841185,0.0378951093124373,0.0384434580850776,0.0389104026682074,0.0398417083780163,1.00946245719511,1100,NA
"12","NaturalSynthetic","Full","BLM3_fit",0.0390880965283708,0.000340424093802643,0.0384330417394355,0.0388669853401856,0.0390922250715478,0.0393167616642733,0.0397690000352367,1.00060846411707,3000,NA
"13","NaturalSynthetic","Full","BLM3_fit",0.995248986931857,0.00749703082862874,0.971935025364503,0.99536594108145,0.99876044539595,0.999442802003893,0.999692570763916,1.00075129477017,3000,NA
"14","NaturalSynthetic","Full","BLM3_fit",-9822.40052501741,56.1138667951851,-9931.09413610529,-9860.92640685025,-9822.40341718974,-9785.76458826931,-9708.71400361807,1.00057433927466,3000,NA
"15","NaturalSynthetic","Full","BLM3_fit",0.155928961947834,0.245820591020057,0.0101637716530213,0.0182543689902431,0.0408631681618945,0.151519418787297,0.927485077035419,1.00112756129486,3000,NA
"16","NaturalSynthetic","Full","BLM3_fit",3848.16541186981,251.67674689874,3388.22701860638,3681.30068502277,3836.35043507426,4013.70743735774,4375.59195046398,1.00111654823247,3000,NA
"17","NaturalSynthetic","Subsets","BLM1_fit",0.165121282797207,0.00927527969995164,0.146201791821699,0.159243441813974,0.165254426399762,0.17124596997192,0.183102745216732,1.03613998688363,90,"1"
"18","NaturalSynthetic","Subsets","BLM1_fit",0.0384038629954304,0.000787534382601705,0.0368734891398651,0.0378886445718806,0.0383943481272183,0.0389005907810137,0.0400083721925323,1.03097973865602,100,"1"
"19","NaturalSynthetic","Subsets","BLM1_fit",-6910.46819946013,46.630650495306,-6999.5115061035,-6942.27124575944,-6910.95993291009,-6879.14866531611,-6818.87154169374,1.00132958164428,2400,"1"
"20","NaturalSynthetic","Subsets","BLM1_fit",4276.44110674134,330.410818547382,3662.84987167249,4048.12207189079,4264.39573754793,4483.53944163216,4970.03069288742,1.00094400902981,3000,"1"
"21","NaturalSynthetic","Subsets","BLM1_fit_NoErrors",0.160212592612061,0.00822895952431608,0.143786089230401,0.154697555841582,0.160270000987009,0.165895101672904,0.175912383421275,1.00187804172491,1500,"1"
"22","NaturalSynthetic","Subsets","BLM1_fit_NoErrors",0.0388233029065991,0.000697826879818015,0.0374973690298822,0.0383452796815703,0.038814698866662,0.0392861188085132,0.0402146406898092,1.00183561813808,1500,"1"
"23","NaturalSynthetic","Subsets","BLM1_fit_NoErrors",-3059.66713539241,2.42642549153519,-3062.42837139875,-3061.4371440897,-3060.33402900945,-3058.52320471734,-3053.28381558841,1.00173313911923,1600,"1"
"24","NaturalSynthetic","Subsets","BLM1_fit_NoErrors",3054.37385374447,177.26793791657,2719.4834582569,2934.90173387808,3048.7998235948,3166.26547213896,3416.51319973091,1.00288222272092,840,"1"
"25","NaturalSynthetic","Subsets","BLM3_fit",0.164637204314634,0.00903453014196434,0.147021562664261,0.158727402438329,0.164626717961729,0.170394814278067,0.182429851718645,1.01416753450762,2500,"1"
"26","NaturalSynthetic","Subsets","BLM3_fit",0.03844646897115,0.000768339291337672,0.0369536273971511,0.0379580757746548,0.0384493267876322,0.0389494964214675,0.0399329889547712,1.01581345074261,1900,"1"
"27","NaturalSynthetic","Subsets","BLM3_fit",0.9804105870377,0.0313910474541428,0.882590417195915,0.982637136279874,0.994730717729292,0.997737376484897,0.998728027696755,1.00119349926266,2900,"1"
