"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-4627.37392341608,-4752.89805678981,-4545.16336612593
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-2472.52347337911,-2753.91616305066,-1892.42274050482
"3","Mineralogy","Mineralogy","BLM3_fit",-4767.19619790001,-4821.02947704835,-4653.39263732001
"4","Mineralogy","4","BLM1_fit",-123.840171266455,-136.975626267291,-101.449454396867
"5","Mineralogy","4","BLM1_fit_NoErrors",-20.3653582269958,-21.5442056405002,-19.2670392753499
"6","Mineralogy","1","BLM1_fit",-518.928636380035,-541.821137684088,-503.651025899457
"7","Mineralogy","1","BLM1_fit_NoErrors",-238.525372666232,-252.86804485205,-228.737172161163
"8","Mineralogy","3","BLM1_fit",-4474.48301702305,-4578.32479211079,-4364.68948830938
"9","Mineralogy","3","BLM1_fit_NoErrors",-1892.84230044896,-2135.68465444833,-1527.35602350462
"10","Mineralogy","5","BLM1_fit",-130.530678568823,-137.09416777283,-119.360645871214
"11","Mineralogy","5","BLM1_fit_NoErrors",-23.309135582898,-25.3310934739949,-21.7230650535021
"12","Mineralogy","2","BLM1_fit",-73.1774446577539,-83.971186915758,-66.6369188475865
"13","Mineralogy","2","BLM1_fit_NoErrors",-9.12268667443246,-10.1275341917676,-7.47281775384296
