"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","BenthicPlanktic","BLM1_NE","Full",0,0
"2","BenthicPlanktic","BLM3","Full",-25143.9821683602,147.156761936792
"3","BenthicPlanktic","BLM1_E","Full",-823932.801543341,4847.85767542762
"4","BenthicPlanktic","BLM1_NE","2",0,0
"5","BenthicPlanktic","BLM3","2",-5763.35948308721,32.7787691066849
"6","BenthicPlanktic","BLM1_E","2",-753788.858707537,4738.84159097223
"7","BenthicPlanktic","BLM3","1",0,0
"8","BenthicPlanktic","BLM1_NE","1",-3048.01065596488,16.989193948291
"9","BenthicPlanktic","BLM1_E","1",-670622.904951844,4609.31841551878
