"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","Forams","Full",-9636.73794605091,-4208.92336269078,-9636.35375818008
"2","Forams","2",-6300.30305821482,-3091.41335329225,-6300.28369824118
"3","Forams","1",-3341.12231788853,-1155.76002395868,-3340.96456158785
