"","targetColumns","original","number","Freq"
"1","Mineralogy","A","1",156
"2","Mineralogy","Apatite","2",28
"3","Mineralogy","C","3",618
"4","Mineralogy","D","4",41
"5","Mineralogy","S","5",36
