"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","CDESorICDES","Full",-9637.02756856687,-4208.92328692365,-9633.83243169866
"2","CDESorICDES","1",-3090.00229044357,-1349.28830039895,-3089.76547639787
"3","CDESorICDES","2",-6550.67357323776,-2932.60394428843,-6550.50032470877
