"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","LARGEorSMALL","BLM1_NE","Full",0,0
"2","LARGEorSMALL","BLM3","Full",-37447.1074159642,295.224078792859
"3","LARGEorSMALL","BLM1_E","Full",-2230884.84868862,18753.4819430161
"4","LARGEorSMALL","BLM3","2",0,0
"5","LARGEorSMALL","BLM1_NE","2",-3390.28505402903,35.7214018030981
"6","LARGEorSMALL","BLM1_E","2",-917057.764027904,12993.8589550965
"7","LARGEorSMALL","BLM1_NE","1",0,0
"8","LARGEorSMALL","BLM3","1",-13591.0102447493,132.388053495854
"9","LARGEorSMALL","BLM1_E","1",-6297472.56969618,64342.7803045253
