"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_E","Full",0,0
"2","Mineralogy","BLM1_NE","Full",-21.6726713739355,11.2555972693736
"3","Mineralogy","BLM3","Full",-72440.3023353559,1988.86924967977
"4","Mineralogy","BLM3","2",0,0
"5","Mineralogy","BLM1_E","2",-1409.04315380327,44.5936476821124
"6","Mineralogy","BLM1_NE","2",-6572.59915543913,180.821792443231
"7","Mineralogy","BLM1_NE","1",0,0
"8","Mineralogy","BLM3","1",-1528.82633724642,427.303888466914
"9","Mineralogy","BLM1_E","1",-12040.601674636,1009.54998743156
"10","Mineralogy","BLM1_NE","4",0,0
"11","Mineralogy","BLM3","4",-966.651865936825,89.2659957334629
"12","Mineralogy","BLM1_E","4",-3520.6659508165,436.702904299619
"13","Mineralogy","BLM3","3",0,0
"14","Mineralogy","BLM1_NE","3",-746.693808302842,67.8851798200929
"15","Mineralogy","BLM1_E","3",-1688.97935300164,157.161019950139
