"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.998782006506023,0.998770696325338,0.998793316686708
"2","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.0366650943434554,0.0353327036240391,0.0379974850628718
"3","Mineralogy","Mineralogy","BLM1_fit",NA,0.962428808094399,0.958963017168337,0.96356247510002
"4","Mineralogy","Mineralogy","BLM1_fit_NoErrors",NA,0.962536447539149,0.960850904852665,0.963510562980672
"5","Mineralogy","4","BLM1_fit",NA,0.935379172756722,0.227838260850355,0.971298353153022
"6","Mineralogy","4","BLM1_fit_NoErrors",NA,0.93691385704412,0.234424665263489,0.97125050989492
"7","Mineralogy","1","BLM1_fit",NA,0.731586973469248,0.527921511527274,0.765502511343722
"8","Mineralogy","1","BLM1_fit_NoErrors",NA,0.694412227703592,0.32269202002573,0.764994097699938
"9","Mineralogy","3","BLM1_fit",NA,0.907118383994249,0.885952107392468,0.912105368804685
"10","Mineralogy","3","BLM1_fit_NoErrors",NA,0.906238503190618,0.898326006228236,0.911308779454748
"11","Mineralogy","5","BLM1_fit",NA,0.973007787550636,0.716855364504368,0.986971061608037
"12","Mineralogy","5","BLM1_fit_NoErrors",NA,0.973645683413414,0.741746090811983,0.986973517766056
"13","Mineralogy","2","BLM1_fit",NA,0.723917242783342,0.014753784333703,0.873885592307315
"14","Mineralogy","2","BLM1_fit_NoErrors",NA,0.667278322982841,0.00328019561009529,0.873328680803495
