"","targetColumns","Dataset","Model","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","Material"
"1","CDESorICDES","Full","BLM1_fit",0.154802135016536,0.00322865920829599,0.148402222940494,0.152664429050751,0.154815869848512,0.156979490188209,0.161203886664962,1.00080214713217,3000,NA
"2","CDESorICDES","Full","BLM1_fit",0.0392156931588687,0.0002882822850458,0.038645529163779,0.0390212361278429,0.0392147519601156,0.0394053850636505,0.0397873367245198,1.0006167168161,3000,NA
"3","CDESorICDES","Full","BLM1_fit",-9636.10338198225,57.5642855239649,-9745.2724367446,-9675.75467421204,-9636.65226753437,-9597.0765635183,-9523.76297846078,1.00086514195191,3000,NA
"4","CDESorICDES","Full","BLM1_fit",3800.6782728745,242.926993738355,3347.2787689657,3631.08806063349,3796.71719589998,3958.23453680792,4293.77103375382,1.00146489316074,2100,NA
"5","CDESorICDES","Full","BLM1_fit_NoErrors",0.15237811880251,0.0031331018034967,0.146376881677318,0.150231013350338,0.152381971383702,0.154484141013949,0.158479243179069,1.00089411337595,3000,NA
"6","CDESorICDES","Full","BLM1_fit_NoErrors",0.0393935708032859,0.000280336172382725,0.038838735861342,0.0392025940560307,0.0393985066584174,0.0395883783844668,0.0399338270600788,1.00108510200322,3000,NA
"7","CDESorICDES","Full","BLM1_fit_NoErrors",-4208.92023854188,2.36513903111547,-4211.72164675924,-4210.67831126598,-4209.49810516599,-4207.78858100322,-4202.99324006406,1.00162725570867,1800,NA
"8","CDESorICDES","Full","BLM1_fit_NoErrors",2688.37580541045,133.258031240969,2438.59042744819,2594.7717795263,2684.93259106491,2775.66041141839,2961.95959898271,1.00073112220235,3000,NA
"9","CDESorICDES","Full","BLM3_fit",0.152702658488418,0.00375459295495971,0.145547565142048,0.15014095844763,0.152676053938032,0.155193197355737,0.160010514239753,1.00058882920415,3000,NA
"10","CDESorICDES","Full","BLM3_fit",0.157244120369024,0.00578719712789313,0.146097426800674,0.153236186890945,0.157282358321549,0.161155531699304,0.168708165278138,1.00147031944646,2100,NA
"11","CDESorICDES","Full","BLM3_fit",0.0396108702597013,0.000356022070785554,0.0389139824256719,0.0393706742705568,0.0396142604216174,0.0398496752808098,0.0403082486018813,1.00077018005363,3000,NA
"12","CDESorICDES","Full","BLM3_fit",0.0389177594205425,0.000503187229806451,0.0379190636333906,0.0385791589596618,0.0389189052968201,0.0392713311254099,0.0398746346828232,1.00143025777583,2100,NA
"13","CDESorICDES","Full","BLM3_fit",0.995729531083416,0.00699859720556239,0.972884823115494,0.995948987779219,0.998925914811006,0.999497756302591,0.999699388791761,1.00374634220333,1500,NA
"14","CDESorICDES","Full","BLM3_fit",-9633.51796879696,56.6441674667657,-9742.68172857409,-9672.12643086927,-9634.43537739283,-9594.42171754371,-9519.94166613266,1.00130392692343,2500,NA
"15","CDESorICDES","Full","BLM3_fit",0.142302288646465,0.232790669648663,0.0100497538911186,0.0168458943633858,0.0358831768733039,0.134576048598038,0.929006421481157,1.00065815300934,3000,NA
"16","CDESorICDES","Full","BLM3_fit",3857.04929292737,247.037901011812,3402.08735129428,3688.91188992076,3853.25645932062,4017.79098139662,4347.85220404994,1.00117226261094,3000,NA
"17","CDESorICDES","Subsets","BLM1_fit",0.152146362372634,0.00471448771532018,0.142995455228386,0.148955606774996,0.152167243294288,0.155359414932545,0.161164587189065,1.00102244624886,3000,"1"
"18","CDESorICDES","Subsets","BLM1_fit",0.0396233280926425,0.000443893082111039,0.0387608607303944,0.0393201129482378,0.0396043427868747,0.0399125313501669,0.0405141845385851,1.00145909747466,2100,"1"
"19","CDESorICDES","Subsets","BLM1_fit",-3089.94351729331,34.3578324318169,-3154.15489195429,-3113.68981346505,-3091.12529995443,-3066.62123844041,-3023.33123728516,1.00073819168622,3000,"1"
"20","CDESorICDES","Subsets","BLM1_fit",2172.92030735882,222.312798987553,1765.89097125981,2017.81152716044,2158.34371743912,2321.18626967176,2630.87634790271,1.00145359705763,2100,"1"
"21","CDESorICDES","Subsets","BLM1_fit_NoErrors",0.150464655419219,0.00485044256865348,0.141017863668031,0.147269940312442,0.150544746807917,0.153661871726653,0.160179089423876,1.00059823133258,3000,"1"
"22","CDESorICDES","Subsets","BLM1_fit_NoErrors",0.039681090408505,0.000465304492540792,0.0387278581604186,0.0393858606837872,0.0396771352243103,0.0399912500425236,0.0405850038801741,1.00065799898885,3000,"1"
"23","CDESorICDES","Subsets","BLM1_fit_NoErrors",-1349.30148582336,2.46581760869197,-1352.07426965968,-1351.11005841148,-1349.91197081872,-1348.20969161601,-1343.05610150136,1.00050995010771,3000,"1"
"24","CDESorICDES","Subsets","BLM1_fit_NoErrors",1682.04765710884,136.320998752769,1424.72042145564,1590.73096709112,1678.95492579464,1773.61083997236,1956.32701346798,1.00136915511928,2300,"1"
"25","CDESorICDES","Subsets","BLM3_fit",0.152191258039484,0.00475567325120313,0.142939473755366,0.148984145864722,0.152243117792407,0.155370303389938,0.161794316749644,1.00056843172295,3000,"1"
"26","CDESorICDES","Subsets","BLM3_fit",0.0396181113834827,0.000448519231954236,0.0387164583842429,0.0393241134883351,0.0396116011022004,0.0399224814945093,0.0405029339600956,1.00068666250579,3000,"1"
"27","CDESorICDES","Subsets","BLM3_fit",0.9957246647192,0.00692309639433998,0.973151454828592,0.995889742567356,0.998877758719946,0.999489957694121,0.999703155373776,1.00082608944102,3000,"1"
