"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_NE","Full",0,0
"2","Mineralogy","BLM1_E","Full",-38228.1799050511,360.277577974755
"3","Mineralogy","BLM3","Full",-124165.228496331,1132.90469005804
"4","Mineralogy","BLM3","3",0,0
"5","Mineralogy","BLM1_NE","3",-7551.121453223,81.2700876038562
"6","Mineralogy","BLM1_E","3",-37037.1925593879,354.710649785781
"7","Mineralogy","BLM1_NE","1",0,0
"8","Mineralogy","BLM3","1",-1905.19457007122,26.8581846224487
"9","Mineralogy","BLM1_E","1",-33358.8593588462,459.585710779571
"10","Mineralogy","BLM3","2",0,0
"11","Mineralogy","BLM1_NE","2",-5352.16927727016,121.931327282324
"12","Mineralogy","BLM1_E","2",-133461.933365268,3040.38418011285
"13","Mineralogy","BLM1_NE","4",0,0
"14","Mineralogy","BLM3","4",-339.941431441401,12.3725318696931
"15","Mineralogy","BLM1_E","4",-3265.72383178112,274.060166538417
"16","Mineralogy","BLM1_NE","5",0,0
"17","Mineralogy","BLM3","5",-1657.1891148564,161.883798982403
"18","Mineralogy","BLM1_E","5",-2015.01128748938,191.361515705736
