"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","SyntheticVSForam","Full",-6081.13864623052,-2469.99264857625,-6083.61474123196
"2","SyntheticVSForam","2",-2741.5299503765,-1324.9996613289,-2741.42183846069
"3","SyntheticVSForam","1",-3341.24144825809,-1155.76213166202,-3340.91914491947
