"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","SyntheticVSForam","Full",-6249.12990230848,-2435.06370503955,-6249.01940286074
"2","SyntheticVSForam","2",-2913.63722423356,-1303.28888596831,-2913.52599638216
"3","SyntheticVSForam","1",-3341.1886846993,-1155.7512021914,-3341.05769496887
