"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","SyntheticVSForam","Full","BLM1_fit",NA,0.0389224005615668,0.000434491385236036,0.158341602368657,0.00470133626697444
"2","SyntheticVSForam","Full","BLM1_fit_NoErrors",NA,0.038559928078207,0.000271584568909685,0.162197282819046,0.00300772700680967
"3","SyntheticVSForam","Full","BLM3","1",0.0363198088869155,0.00140927045786904,0.188797469859786,0.0170077621594489
"4","SyntheticVSForam","Full","BLM3","2",0.0387895504749017,0.000315912915678315,0.160499224306563,0.00309503687750266
"5","SyntheticVSForam","Full","Deming",NA,0.0381799759110897,0.00488137379258741,0.164295261063112,0.0501301594490733
"6","SyntheticVSForam","Full","LM",NA,0.0385872505050749,0.000219178548854672,0.161966095861771,0.00241574037420812
"7","SyntheticVSForam","Full","Weighted",NA,0.0386064391296963,0.000241075644279178,0.161622996827857,0.00266446431769106
"8","SyntheticVSForam","Full","York",NA,0.0387916267251539,0.000504925937287191,0.15751029434797,0.00525365125506939
"9","SyntheticVSForam","subsets","BLM1_fit","1",0.0426969950519977,0.00470049256657212,0.111959177604933,0.0566501484157512
"10","SyntheticVSForam","subsets","BLM1_fit","2",0.0390618129664469,0.000357485465887816,0.157946528128224,0.00348825153570779
"11","SyntheticVSForam","subsets","BLM1_fit_NoErrors","1",0.0362525064697961,0.00141020029256336,0.18963530477646,0.0170271758653634
"12","SyntheticVSForam","subsets","BLM1_fit_NoErrors","2",0.038797939842133,0.000312306659895596,0.160423698165917,0.00306239818937463
"13","SyntheticVSForam","subsets","BLM3","1",0.0362552890491495,0.00144772179651264,0.189603182416923,0.0174604375659639
"14","SyntheticVSForam","subsets","BLM3","2",0.0388051982487812,0.000314532546257526,0.160345200066555,0.00309216820927691
"15","SyntheticVSForam","subsets","Deming","1",0.0402294739453215,0.00202906782892191,0.143142437294643,0.0238909126546823
"16","SyntheticVSForam","subsets","Deming","2",0.0385201570404545,0.00076205265552609,0.159426745865304,0.00497019326885166
"17","SyntheticVSForam","subsets","LM","1",0.0361805682750031,0.00120489872004001,0.19037696263391,0.014512401744049
"18","SyntheticVSForam","subsets","LM","2",0.0388024180256225,0.000323477761321691,0.160392508430366,0.00283454973991069
"19","SyntheticVSForam","subsets","Weighted","1",0.0363721076648178,0.0013177668239143,0.188282725062839,0.0158149312771563
"20","SyntheticVSForam","subsets","Weighted","2",0.0387811732479024,0.00031429803745616,0.16042266169251,0.00286274990833717
"21","SyntheticVSForam","subsets","York","1",0.0401176545431854,0.00165010716973244,0.144551541743897,0.0196676346181348
"22","SyntheticVSForam","subsets","York","2",0.0385817087333433,0.000812150294384788,0.158623013485065,0.00512233971568657
