"","targetColumns","Material","BLM1_fit","BLM1_fit_NoErrors","BLM3_fit"
"1","NaturalSynthetic","Full",-8266.16816503261,-4232.83154391281,-8265.60948733648
"2","NaturalSynthetic","1",-5345.28237376652,-2970.44161025321,-5345.3491627917
"3","NaturalSynthetic","2",-2924.16134118704,-1275.30707581356,-2924.05717969914
