"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_NE","Full",0,0
"2","Mineralogy","BLM3","Full",-115441.222501248,1006.42952506022
"3","Mineralogy","BLM1_E","Full",-18948771.3389985,165721.637021073
"4","Mineralogy","BLM3","3",0,0
"5","Mineralogy","BLM1_NE","3",-10852.1787332773,105.46455934075
"6","Mineralogy","BLM1_E","3",-994756.8071092,9186.84288319494
"7","Mineralogy","BLM3","1",0,0
"8","Mineralogy","BLM1_NE","1",-1306.43302320847,18.1369972248227
"9","Mineralogy","BLM1_E","1",-894047.44919497,11541.2685906032
"10","Mineralogy","BLM1_NE","2",0,0
"11","Mineralogy","BLM3","2",-21487.2750357751,489.075676396031
"12","Mineralogy","BLM1_E","2",-384673.522110295,8763.01878386523
"13","Mineralogy","BLM1_NE","4",0,0
"14","Mineralogy","BLM3","4",-730.865265678136,61.8246955862668
"15","Mineralogy","BLM1_E","4",-477908.018905675,40130.1178970813
"16","Mineralogy","BLM3","5",0,0
"17","Mineralogy","BLM1_NE","5",-2497.88521415184,168.496368894374
"18","Mineralogy","BLM1_E","5",-210867.992668801,14547.8138379953
