"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","MarineMetazoa","BLM1_NE","Full",0,0
"2","MarineMetazoa","BLM3","Full",-33070.0119840543,297.671711361567
"3","MarineMetazoa","BLM1_E","Full",-2750387.86835838,23844.826868374
"4","MarineMetazoa","BLM3","2",0,0
"5","MarineMetazoa","BLM1_NE","2",-5511.94147199698,53.9927436171099
"6","MarineMetazoa","BLM1_E","2",-26514589.2432385,264936.923949651
"7","MarineMetazoa","BLM3","1",0,0
"8","MarineMetazoa","BLM1_NE","1",-1387.97664703175,12.332741312366
"9","MarineMetazoa","BLM1_E","1",-335812.54069509,2850.72936984943
