"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-5362.35440066388,-5503.97246602871,-5241.85026698786
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-2477.58751721349,-2934.18915520053,-1611.95227535981
"3","Mineralogy","Mineralogy","BLM3_fit",-4810.57529084339,-4853.68542155754,-4724.15875768265
"4","Mineralogy","4","BLM1_fit",-123.348462461692,-145.63918916923,-107.103785391235
"5","Mineralogy","4","BLM1_fit_NoErrors",-20.9442130819598,-22.5287105356446,-19.7647977192505
"6","Mineralogy","1","BLM1_fit",-527.19646871159,-545.941808002764,-491.761869616017
"7","Mineralogy","1","BLM1_fit_NoErrors",-243.839521467431,-266.622158524952,-216.403117314718
"8","Mineralogy","3","BLM1_fit",-4455.59401719498,-4604.16590734822,-4376.23386677455
"9","Mineralogy","3","BLM1_fit_NoErrors",-1991.61473766204,-2337.26658466347,-1550.86780626174
"10","Mineralogy","5","BLM1_fit",-130.696814131217,-138.860429365028,-118.83877285755
"11","Mineralogy","5","BLM1_fit_NoErrors",-23.4163398210757,-24.7106212779033,-21.7716341247848
"12","Mineralogy","2","BLM1_fit",-72.680548164623,-83.9477497754952,-64.8441572560013
"13","Mineralogy","2","BLM1_fit_NoErrors",-8.7884692745057,-9.94822690592688,-8.00662435784325
