"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM3","Full",0,0
"2","Mineralogy","BLM1_NE","Full",-8131.82689353126,57.787989121448
"3","Mineralogy","BLM1_E","Full",-40746.2124091283,335.436190026645
"4","Mineralogy","BLM1_NE","2",0,0
"5","Mineralogy","BLM3","2",-1703.0806978224,37.5873378342545
"6","Mineralogy","BLM1_E","2",-28368.6522683657,279.344959896666
"7","Mineralogy","BLM1_NE","1",0,0
"8","Mineralogy","BLM3","1",-2258.68196108834,31.8263726759766
"9","Mineralogy","BLM1_E","1",-27198.5177331094,388.302047059358
