"","Material","Freq","Model","elpd_diff","se_diff"
"1","Foraminifera",260,"BLM1_NE",0,0
"2","Foraminifera",260,"BLM3",-3799.03803020756,24.2327592998581
"3","Foraminifera",260,"BLM1_E",-926676.424486877,5461.02062883324
"4","NonForaminifera",733,"BLM1_NE",0,0
"5","NonForaminifera",733,"BLM3",-8300.00686445118,101.50046008074
"6","NonForaminifera",733,"BLM1_E",-1246426.12311552,15581.868824629
"7","Full",993,"BLM3",0,0
"8","Full",993,"BLM1_NE",-7878.87737567344,62.9525718648704
"9","Full",993,"BLM1_E",-1959492.34617715,17804.3907067028
