"","targetColumns.y","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha"
"17","MineralogyAragoniteCalcite","Full","BLM1_fit",0.0389825533940465,0.000545923821664553,0.158833072819498,0.00622490723685946
"18","MineralogyAragoniteCalcite","Full","BLM1_fit_NoErrors",0.0385723646286542,0.000295815194145718,0.163478865477901,0.0034335423880507
"19","MineralogyAragoniteCalcite","Full","Weighted",0.0387150125834091,0.000164493499682122,0.161879419190696,0.00188600920145007
"20","MineralogyAragoniteCalcite","Full","York",0.0391193247071428,0.000432171079485392,0.15905921042901,0.00492314104870961
"21","MineralogyAragoniteCalcite","Full","Deming",0.039875204123296,0.00323689573871543,0.151718240978624,0.0280098820346297
"22","MineralogyAragoniteCalcite","Full","LM",0.0385924048823926,0.000237576091011476,0.16327799945974,0.00265703848451915
