Publication,Code,AdditionalTaxonomicInfo,Genus,Species,CurrentGenus,CurrentSpecies,ForamEcogroup,EcoGroupPub,Sample Name,Mineralogy,Lab,Forams,MarineMetazoa,Teeth,NaturalSynthetic,Mollusk,Lake,Corals,N,D47,D47error,Temperature_C,Temperature,TempError_C,TempError,d18O water,d18O water SD,Acid T,pH,Source
2019,Muller,,,,,,,,LV 15 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.623,0.022,25.5,11.21179018,5.7,0.416,1.8,1,70,,
2019,Muller,,,,,,,,LV 71 CM,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,16,0.606,0.019,25.5,11.21179018,5.7,0.416,1.8,1,70,,
2019,Muller,,,,,,,,Qatar 1,D,ETH,NonForaminifera,2,2,Natural,NonMollusk,Non-lake,NonCorals,25,0.596,0.015,32,10.73923266,6,0.410,,,70,,
2019,Muller,,,,,,,,Leeds 23,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,16,0.504,0.017,70,8.492430347,2,0.098,-7.31,0.1,70,,
2019,Muller,,,,,,,,Leeds 1,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,12,0.494,0.014,70,8.492430347,2,0.098,-7.35,0.1,70,,
2019,Muller,,,,,,,,Leeds 6,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,11,0.518,0.02,70,8.492430347,2,0.098,-7.36,0.1,70,,
2019,Muller,,,,,,,,Leeds 12,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,8,0.501,0.037,70,8.492430347,2,0.098,-7.28,0.1,70,,
2019,Muller,,,,,,,,Leeds 20,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,9,0.511,0.042,70,8.492430347,2,0.098,-7.33,0.1,70,,
2019,Muller,,,,,,,,Leeds 81,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,18,0.511,0.022,70,8.492430347,2,0.098,,,70,,
2019,Muller,,,,,,,,Leeds 82,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,21,0.496,0.016,70,8.492430347,2,0.098,-5.99,0.1,70,,
2019,Muller,,,,,,,,Leeds 83,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,41,0.509,0.015,70,8.492430347,2,0.098,-7.12,0.1,70,,
2019,Muller,,,,,,,,Leeds 21,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.429,0.027,140,5.858473716,2,0.056,-7.31,0.1,70,,
2019,Muller,,,,,,,,Leeds 14,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,15,0.402,0.014,140,5.858473716,2,0.056,-7.13,0.1,70,,
2019,Muller,,,,,,,,Leeds 22,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,9,0.405,0.015,140,5.858473716,2,0.056,-7.1,0.1,70,,
2019,Muller,,,,,,,,Leeds 15,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,21,0.412,0.021,140,5.858473716,2,0.056,-7.05,0.1,70,,
2019,Muller,,,,,,,,Leeds 34,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.331,0.054,220,4.111894138,2,0.033,-6.91,0.1,70,,
2019,Muller,,,,,,,,Leeds 41,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,6,0.356,0.025,220,4.111894138,2,0.033,-6.71,0.1,70,,
2019,Muller,,,,,,,,Leeds 84,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,12,0.321,0.018,220,4.111894138,2,0.033,-4.74,0.1,70,,
2019,Muller,,,,,,,,Leeds 85,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,16,0.325,0.028,220,4.111894138,2,0.033,-4.72,0.1,70,,
2019,Muller,,,,,,,,Leeds 86,D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,11,0.329,0.017,220,4.111894138,2,0.033,-5.37,0.1,70,,
2019,Muller,,,,,,,,Rodolo (H),D,ETH,NonForaminifera,2,2,Synthetic,NonMollusk,Non-lake,NonCorals,87,0.239,0.01,1100,0.5303517882,2,0.002,,,70,,
